GAS_LINES_TIMESERIES_1,GAS_LINES_TIMESERIES_2,GAS_LINES_TIMESERIES_3,DispatchGl
DC,VA,20230517,0.0
DC,VA,20230630,0.0
DC,VA,20230615,0.0
DC,VA,20230727,0.0
DC,VA,20230710,0.0
DC,VA,20230803,0.0
DC,VA,20230831,0.0
DC,VA,20230906,0.0
DC,VA,20230912,0.0
DC,VA,20231005,0.0
DC,VA,20231020,0.0
DC,VA,20231129,0.0
DC,VA,20231121,0.0
DC,VA,20231228,0.0
DC,VA,20231218,0.0
SD,MN,20230103,0.0
SD,MN,20230130,0.0
SD,MN,20230213,0.0
SD,MN,20230216,0.0
SD,MN,20230306,0.0
SD,MN,20230315,2118722.3391677425
SD,MN,20230403,0.0
SD,MN,20230410,0.0
SD,MN,20230530,0.0
SD,MN,20230517,0.0
SD,MN,20230630,0.0
SD,MN,20230615,0.0
SD,MN,20230727,0.0
SD,MN,20230710,0.0
SD,MN,20230803,0.0
SD,MN,20230831,0.0
SD,MN,20230906,0.0
SD,MN,20230912,0.0
SD,MN,20231005,0.0
SD,MN,20231020,0.0
SD,MN,20231129,0.0
SD,MN,20231121,0.0
SD,MN,20231228,0.0
SD,MN,20231218,0.0
MD,VA,20230103,3326042.3342431313
MD,VA,20230130,3327984.299735413
MD,VA,20230213,3238020.3070332273
MD,VA,20230216,2971147.228152984
MD,VA,20230306,3415152.5569318826
MD,VA,20230315,3506478.348596276
MD,VA,20230403,3359805.5124109574
MD,VA,20230410,3373297.645126223
MD,VA,20230530,3207681.508717125
MD,VA,20230517,3202640.0587135158
MD,VA,20230630,3128224.766788348
MD,VA,20230615,3175621.4021983407
MD,VA,20230727,3589552.7418179936
MD,VA,20230710,3264565.3339201077
MD,VA,20230803,3564703.6754550883
MD,VA,20230831,3467494.133937969
MD,VA,20230906,3548492.206849803
MD,VA,20230912,3532686.592291683
MD,VA,20231005,3527199.6414638534
MD,VA,20231020,3506129.6816805666
MD,VA,20231129,2674926.610041321
MD,VA,20231121,3385200.8593320823
MD,VA,20231228,3313963.8471650067
MD,VA,20231218,3407685.4131471785
MO,TN,20230103,0.0
MO,TN,20230130,0.0
MO,TN,20230213,0.0
MO,TN,20230216,0.0
MO,TN,20230306,0.0
MO,TN,20230315,0.0
MO,TN,20230403,0.0
MO,TN,20230410,0.0
MO,TN,20230530,0.0
MO,TN,20230517,0.0
MO,TN,20230630,0.0
MO,TN,20230615,0.0
MO,TN,20230727,0.0
MO,TN,20230710,0.0
MO,TN,20230803,0.0
MO,TN,20230831,0.0
MO,TN,20230906,0.0
MO,TN,20230912,0.0
MO,TN,20231005,0.0
MO,TN,20231020,0.0
MO,TN,20231129,0.0
MO,TN,20231121,0.0
MO,TN,20231228,0.0
MO,TN,20231218,0.0
NM,CO,20230103,0.0
NM,CO,20230130,0.0
NM,CO,20230213,0.0
NM,CO,20230216,0.0
NM,CO,20230306,0.0
NM,CO,20230315,0.0
NM,CO,20230403,0.0
NM,CO,20230410,0.0
NM,CO,20230530,0.0
NM,CO,20230517,0.0
NM,CO,20230630,0.0
NM,CO,20230615,0.0
NM,CO,20230727,0.0
NM,CO,20230710,0.0
NM,CO,20230803,0.0
NM,CO,20230831,0.0
NM,CO,20230906,0.0
NM,CO,20230912,0.0
NM,CO,20231005,0.0
NM,CO,20231020,0.0
NM,CO,20231129,0.0
NM,CO,20231121,0.0
NM,CO,20231228,0.0
NM,CO,20231218,0.0
CT,MA,20230103,129625.0
CT,MA,20230130,129625.0
CT,MA,20230213,129625.0
CT,MA,20230216,59852.27673604109
CT,MA,20230306,129625.0
CT,MA,20230315,129625.0
CT,MA,20230403,129625.0
CT,MA,20230410,129625.0
CT,MA,20230530,27413.312159490677
CT,MA,20230517,0.0
CT,MA,20230630,0.0
CT,MA,20230615,0.0
CT,MA,20230727,0.0
CT,MA,20230710,0.0
CT,MA,20230803,0.0
CT,MA,20230831,67802.5221813423
CT,MA,20230906,129625.0
CT,MA,20230912,129625.0
CT,MA,20231005,129625.0
CT,MA,20231020,129625.0
CT,MA,20231129,129625.0
CT,MA,20231121,129625.0
CT,MA,20231228,129625.0
CT,MA,20231218,129625.0
MI,OH,20230103,0.0
MI,OH,20230130,0.0
MI,OH,20230213,0.0
MI,OH,20230216,0.0
MI,OH,20230306,0.0
MI,OH,20230315,0.0
MI,OH,20230403,0.0
MI,OH,20230410,0.0
MI,OH,20230530,0.0
MI,OH,20230517,0.0
MI,OH,20230630,0.0
MI,OH,20230615,0.0
MI,OH,20230727,0.0
MI,OH,20230710,0.0
MI,OH,20230803,0.0
MI,OH,20230831,0.0
MI,OH,20230906,0.0
MI,OH,20230912,0.0
MI,OH,20231005,0.0
MI,OH,20231020,0.0
MI,OH,20231129,0.0
MI,OH,20231121,0.0
MI,OH,20231228,0.0
MI,OH,20231218,0.0
WY,SD,20230103,27999.0
WY,SD,20230130,27999.0
WY,SD,20230213,27999.0
WY,SD,20230216,27999.0
WY,SD,20230306,27999.0
WY,SD,20230315,27999.0
WY,SD,20230403,27999.0
WY,SD,20230410,27999.0
WY,SD,20230530,27999.0
WY,SD,20230517,27999.0
WY,SD,20230630,27999.0
WY,SD,20230615,27999.0
WY,SD,20230727,27999.0
WY,SD,20230710,27999.0
WY,SD,20230803,27999.0
WY,SD,20230831,27999.0
WY,SD,20230906,27999.0
WY,SD,20230912,27999.0
WY,SD,20231005,27999.0
WY,SD,20231020,27999.0
WY,SD,20231129,27999.0
WY,SD,20231121,27999.0
WY,SD,20231228,27999.0
WY,SD,20231218,27999.0
DE,PA,20230103,0.0
DE,PA,20230130,0.0
DE,PA,20230213,0.0
DE,PA,20230216,0.0
DE,PA,20230306,0.0
DE,PA,20230315,0.0
DE,PA,20230403,0.0
DE,PA,20230410,0.0
DE,PA,20230530,0.0
DE,PA,20230517,0.0
DE,PA,20230630,0.0
DE,PA,20230615,0.0
DE,PA,20230727,0.0
DE,PA,20230710,0.0
DE,PA,20230803,0.0
DE,PA,20230831,0.0
DE,PA,20230906,0.0
DE,PA,20230912,0.0
DE,PA,20231005,0.0
DE,PA,20231020,0.0
DE,PA,20231129,0.0
DE,PA,20231121,0.0
DE,PA,20231228,0.0
DE,PA,20231218,0.0
PA,NY,20230103,5172556.0
PA,NY,20230130,5172556.0
PA,NY,20230213,5172556.0
PA,NY,20230216,5172556.0
PA,NY,20230306,5172556.0
PA,NY,20230315,5172556.0
PA,NY,20230403,5172556.0
PA,NY,20230410,5172556.0
PA,NY,20230530,5172556.0
PA,NY,20230517,5172556.0
PA,NY,20230630,5172556.0
PA,NY,20230615,5172556.0
PA,NY,20230727,5172556.0
PA,NY,20230710,4932151.186904404
PA,NY,20230803,5172556.0
PA,NY,20230831,5172556.0
PA,NY,20230906,5172556.0
PA,NY,20230912,5172556.0
PA,NY,20231005,5172556.0
PA,NY,20231020,5172556.0
PA,NY,20231129,5172556.0
PA,NY,20231121,5172556.0
PA,NY,20231228,5172556.0
PA,NY,20231218,5172556.0
MS,AR,20230103,0.0
MS,AR,20230130,0.0
MS,AR,20230213,0.0
MS,AR,20230216,0.0
MS,AR,20230306,0.0
MS,AR,20230315,0.0
MS,AR,20230403,0.0
MS,AR,20230410,0.0
MS,AR,20230530,0.0
MS,AR,20230517,0.0
MS,AR,20230630,0.0
MS,AR,20230615,0.0
MS,AR,20230727,0.0
MS,AR,20230710,0.0
MS,AR,20230803,0.0
MS,AR,20230831,0.0
MS,AR,20230906,0.0
MS,AR,20230912,0.0
MS,AR,20231005,0.0
MS,AR,20231020,0.0
MS,AR,20231129,0.0
MS,AR,20231121,0.0
MS,AR,20231228,0.0
MS,AR,20231218,0.0
OK,MO,20230103,82960.0
OK,MO,20230130,82960.0
OK,MO,20230213,82960.0
OK,MO,20230216,82960.0
OK,MO,20230306,82960.0
OK,MO,20230315,82960.0
OK,MO,20230403,82960.0
OK,MO,20230410,82960.0
OK,MO,20230530,82960.0
OK,MO,20230517,82960.0
OK,MO,20230630,82960.0
OK,MO,20230615,82960.0
OK,MO,20230727,82960.0
OK,MO,20230710,82960.0
OK,MO,20230803,82960.0
OK,MO,20230831,82960.0
OK,MO,20230906,82960.0
OK,MO,20230912,82960.0
OK,MO,20231005,82960.0
OK,MO,20231020,82960.0
OK,MO,20231129,82960.0
OK,MO,20231121,82960.0
OK,MO,20231228,82960.0
OK,MO,20231218,82960.0
KY,WV,20230103,0.0
KY,WV,20230130,0.0
KY,WV,20230213,0.0
KY,WV,20230216,0.0
KY,WV,20230306,0.0
KY,WV,20230315,0.0
KY,WV,20230403,0.0
KY,WV,20230410,0.0
KY,WV,20230530,0.0
KY,WV,20230517,0.0
KY,WV,20230630,0.0
KY,WV,20230615,0.0
KY,WV,20230727,0.0
KY,WV,20230710,0.0
KY,WV,20230803,0.0
KY,WV,20230831,0.0
KY,WV,20230906,0.0
KY,WV,20230912,0.0
KY,WV,20231005,0.0
KY,WV,20231020,0.0
KY,WV,20231129,0.0
KY,WV,20231121,0.0
KY,WV,20231228,0.0
KY,WV,20231218,0.0
AL,TN,20230103,0.0
AL,TN,20230130,0.0
AL,TN,20230213,0.0
AL,TN,20230216,0.0
AL,TN,20230306,0.0
AL,TN,20230315,0.0
AL,TN,20230403,0.0
AL,TN,20230410,0.0
AL,TN,20230530,0.0
AL,TN,20230517,0.0
AL,TN,20230630,0.0
AL,TN,20230615,0.0
AL,TN,20230727,0.0
AL,TN,20230710,0.0
AL,TN,20230803,0.0
AL,TN,20230831,0.0
AL,TN,20230906,0.0
AL,TN,20230912,0.0
AL,TN,20231005,0.0
AL,TN,20231020,0.0
AL,TN,20231129,0.0
AL,TN,20231121,0.0
AL,TN,20231228,0.0
AL,TN,20231218,0.0
ID,NV,20230103,163846.0
ID,NV,20230130,163846.0
ID,NV,20230213,163846.0
ID,NV,20230216,163846.0
ID,NV,20230306,94024.62886159541
ID,NV,20230315,0.0
ID,NV,20230403,163846.0
ID,NV,20230410,163846.0
ID,NV,20230530,163846.0
ID,NV,20230517,163846.0
ID,NV,20230630,53710.82411135551
ID,NV,20230615,163846.0
ID,NV,20230727,0.0
ID,NV,20230710,0.0
ID,NV,20230803,0.0
ID,NV,20230831,0.0
ID,NV,20230906,0.0
ID,NV,20230912,0.0
ID,NV,20231005,163846.0
ID,NV,20231020,163846.0
ID,NV,20231129,163846.0
ID,NV,20231121,163846.0
ID,NV,20231228,163846.0
ID,NV,20231218,163846.0
NM,AZ,20230103,6462584.0
NM,AZ,20230130,6462584.0
NM,AZ,20230213,6462584.0
NM,AZ,20230216,6462584.0
NM,AZ,20230306,6462584.0
NM,AZ,20230315,6084464.980197006
NM,AZ,20230403,5342794.473510663
NM,AZ,20230410,3720241.591365385
NM,AZ,20230530,5575573.257397145
NM,AZ,20230517,4155920.946833209
NM,AZ,20230630,2163151.2301498232
NM,AZ,20230615,2086510.3775789426
NM,AZ,20230727,6462584.0
NM,AZ,20230710,3158249.8973258664
NM,AZ,20230803,6462584.0
NM,AZ,20230831,6462584.0
NM,AZ,20230906,6123529.330436051
NM,AZ,20230912,2681493.5127560566
NM,AZ,20231005,4514546.84024368
NM,AZ,20231020,5982260.511772215
NM,AZ,20231129,6462584.0
NM,AZ,20231121,6462584.0
NM,AZ,20231228,6462584.0
NM,AZ,20231218,6462584.0
ME,NH,20230103,0.0
ME,NH,20230130,0.0
ME,NH,20230213,0.0
ME,NH,20230216,0.0
ME,NH,20230306,0.0
ME,NH,20230315,0.0
ME,NH,20230403,0.0
ME,NH,20230410,0.0
ME,NH,20230530,0.0
ME,NH,20230517,0.0
ME,NH,20230630,0.0
ME,NH,20230615,0.0
ME,NH,20230727,0.0
ME,NH,20230710,0.0
ME,NH,20230803,0.0
ME,NH,20230831,0.0
ME,NH,20230906,0.0
ME,NH,20230912,0.0
ME,NH,20231005,0.0
ME,NH,20231020,0.0
ME,NH,20231129,0.0
ME,NH,20231121,0.0
ME,NH,20231228,0.0
ME,NH,20231218,0.0
NV,UT,20230103,0.0
NV,UT,20230130,0.0
NV,UT,20230213,0.0
NV,UT,20230216,0.0
NV,UT,20230306,0.0
NV,UT,20230315,0.0
NV,UT,20230403,0.0
NV,UT,20230410,0.0
NV,UT,20230530,0.0
NV,UT,20230517,0.0
NV,UT,20230630,0.0
NV,UT,20230615,0.0
NV,UT,20230727,0.0
NV,UT,20230710,0.0
NV,UT,20230803,0.0
NV,UT,20230831,0.0
NV,UT,20230906,0.0
NV,UT,20230912,0.0
NV,UT,20231005,0.0
NV,UT,20231020,0.0
NV,UT,20231129,0.0
NV,UT,20231121,0.0
NV,UT,20231228,0.0
NV,UT,20231218,0.0
NV,CA,20230103,1073074.8029101938
NV,CA,20230130,1280892.3785003922
NV,CA,20230213,1725610.958909314
NV,CA,20230216,1271345.9101101034
NV,CA,20230306,1864358.7654653965
NV,CA,20230315,736396.5894251605
NV,CA,20230403,2071015.43756011
NV,CA,20230410,2190177.1393806133
NV,CA,20230530,2269993.0
NV,CA,20230517,2269993.0
NV,CA,20230630,2269993.0
NV,CA,20230615,2269993.0
NV,CA,20230727,2269993.0
NV,CA,20230710,2269993.0
NV,CA,20230803,2269993.0
NV,CA,20230831,2269993.0
NV,CA,20230906,2269993.0
NV,CA,20230912,2269993.0
NV,CA,20231005,2269993.0
NV,CA,20231020,2269993.0
NV,CA,20231129,2269993.0
NV,CA,20231121,2269993.0
NV,CA,20231228,2269993.0
NV,CA,20231218,2269993.0
MS,TN,20230103,1241291.3563900643
MS,TN,20230130,1500531.0624900612
MS,TN,20230213,988138.2205792381
MS,TN,20230216,1080686.6527900645
MS,TN,20230306,2546708.628953615
MS,TN,20230315,1542502.1078272164
MS,TN,20230403,583572.5031028553
MS,TN,20230410,0.0
MS,TN,20230530,914903.285234625
MS,TN,20230517,848447.6348900645
MS,TN,20230630,1275465.4041879233
MS,TN,20230615,1016309.4289336492
MS,TN,20230727,0.0
MS,TN,20230710,0.0
MS,TN,20230803,0.0
MS,TN,20230831,0.0
MS,TN,20230906,0.0
MS,TN,20230912,0.0
MS,TN,20231005,0.0
MS,TN,20231020,83183.81070036092
MS,TN,20231129,648568.2513432121
MS,TN,20231121,1399995.037221822
MS,TN,20231228,1193492.9028025523
MS,TN,20231218,1615784.578490061
NE,MO,20230103,0.0
NE,MO,20230130,0.0
NE,MO,20230213,0.0
NE,MO,20230216,0.0
NE,MO,20230306,526877.0830027845
NE,MO,20230315,718641.0
NE,MO,20230403,0.0
NE,MO,20230410,0.0
NE,MO,20230530,0.0
NE,MO,20230517,0.0
NE,MO,20230630,0.0
NE,MO,20230615,0.0
NE,MO,20230727,0.0
NE,MO,20230710,0.0
NE,MO,20230803,0.0
NE,MO,20230831,0.0
NE,MO,20230906,0.0
NE,MO,20230912,0.0
NE,MO,20231005,0.0
NE,MO,20231020,0.0
NE,MO,20231129,0.0
NE,MO,20231121,0.0
NE,MO,20231228,0.0
NE,MO,20231218,0.0
ID,MT,20230103,0.0
ID,MT,20230130,0.0
ID,MT,20230213,0.0
ID,MT,20230216,0.0
ID,MT,20230306,0.0
ID,MT,20230315,0.0
ID,MT,20230403,0.0
