load_zone,period,timepoint_label,Coal,Uranium,Naturalgas,Distillate,Hydrogen,Waste_biomass,Fuel,Electricity,Heat,Solar,Water,Wind,Batteries,Conventional Hydroelectric,Geothermal,Hydroelectric Pumped Storage,Offshore Wind Turbine,Onshore Wind Turbine,Small Hydroelectric,Solar Photovoltaic,distributed_generation,curtail_Electricity,curtail_Heat,curtail_Solar,curtail_Water,curtail_Wind,UnservedLoad,ZoneTotalCentralDispatch,ZoneTotalDistributedDispatch,TXPowerNet,zone_demand_mw,StorageNetCharge,spinning_reserve_provision,spinning_reserve_requirement,marginal_cost,peak_day
BASN,2023,202300,0.0002787836279236065,0,7962.291435121564,4.5318735843677585e-05,0,28.633033118706418,0,0.00045151329104215567,461.9395,0.0,202.12953062802012,505.00370160550693,0.00045151329104215567,0.011130635076586324,461.9395,0,0,505.00370160550693,202.11839999294352,0.0,0.0,935.7995484867089,0.0,0.0,2489.5888693719794,7.45859991297948e-05,2.254918440094237e-06,9159.997976089453,0.0,1125.0071049702976,10285,0.00508331352165887,0.0,0.0,146.60330325331037,peak
BASN,2023,202300,9.403544358139233e-06,0,5257.159798738986,1.542799689183697e-06,0,28.633194234026135,0,1.5267438366897684e-05,461.9395,0.0,452.1688839628373,434.443482672471,1.5267438366897684e-05,250.05048396989375,461.9395,0,0,434.443482672471,202.11839999294352,0.0,0.0,935.7999847325616,0.0,0.0,2239.549516037162,2.5482328283032984e-06,7.665362931166071e-08,6634.344885822103,0.0,3013.6553072003385,9648,0.00019310818575133903,0.0,0.0,145.97893317222986,typical
BASN,2023,202300,0.00027431083038508594,0,4107.454512359342,4.5086980957712326e-05,0,28.633031538786263,0,0.0007745474216703447,461.9395,0.0,610.8381459043635,376.6073296962557,0.0007745474216703447,408.7197459114199,461.9395,0,0,376.6073296962557,202.11839999294352,0.0,0.0,935.7992254525783,0.0,0.0,2080.880254095636,7.523001249865047e-05,2.2542885543556017e-06,5585.47361344398,0.0,3651.5274181140753,9237,0.00103381048960126,0.0,0.0,145.3727999756346,peak
BASN,2023,202300,9.325076702688864e-06,0,2499.5352450909368,1.538588504072693e-06,0,28.633194204375986,0,2.919143763103299e-05,461.93949744016606,0.0,780.8900437948637,431.56602619101454,2.919143763103299e-05,578.7716438019202,461.93949744016606,0,0,431.56602619101454,202.11839999294352,0.0,0.0,935.7999708085623,2.559833944815182e-06,0.0,1910.8283562051356,-5.684341886080802e-14,7.66421416692963e-08,4202.56404677646,0.0,4737.435985029008,8940,3.187910857059548e-05,0.0,0.0,145.3253943715199,typical
BASN,2023,202300,0.00025689813258483697,0,2207.5995967498206,4.410685085242898e-05,0,28.633024181784727,0,0.0007348845680889693,461.93942187940104,0.0,422.11765350453334,422.78923799547783,0.0007348845680889693,219.99925351158979,461.93942187940104,0,0,422.78923799547783,202.11839999294352,0.0,0.0,935.7992651154319,7.812059897105428e-05,0.0,2269.600746495466,0.0,2.2517838534233483e-06,3543.079970200569,0.0,5292.9212291608765,8836,0.0012016117727806635,0.0,0.0,139.93061755533722,peak
BASN,2023,202300,8.719975610390901e-06,0,2207.600051505537,1.5043235332864196e-06,0,28.633193944000354,0,2.5426945000973866e-05,461.93949733939456,0.0,202.1186297875126,290.27193565965393,2.5426945000973866e-05,0.00022979456907285857,461.93949733939456,0,0,290.27193565965393,202.11839999294352,0.0,0.0,935.799974573055,2.6606054461808526e-06,0.0,2489.599770212487,0.0,7.655526786867693e-08,3190.5633438873424,0.0,5672.436696369309,8863,4.032331780482692e-05,0.0,0.0,139.79823580289067,typical
BASN,2023,202300,0.00026723453082508667,0,3007.9999354299543,4.470084226191299e-05,0,28.6330287723286,0,0.0008660648870586793,461.9394236718744,0.0,817.6989648073771,298.5676875275265,0.0008660648870586793,615.5805648144336,461.9394236718744,0,0,298.5676875275265,202.11839999294352,0.0,0.0,935.7991339351129,7.632812560132152e-05,0.0,1874.019435192622,0.0,2.2533065473225716e-06,4614.840218209321,0.0,4373.160729085809,8988,0.0009495473739393809,0.0,0.0,143.29991242733985,peak
BASN,2023,202300,9.030851107341161e-06,0,6033.8380573188015,1.5223127475355404e-06,0,28.633194084950752,0,2.963937313475606e-05,461.9394973938596,0.0,697.4497070376876,241.06841802497036,2.963937313475606e-05,495.33130704474405,461.9394973938596,0,0,241.06841802497036,202.11839999294352,0.0,0.0,935.7999703606268,2.6061404128085996e-06,0.0,1994.268692962312,0.0,7.66024297172252e-08,7462.928914052807,0.0,1930.071118413195,9393,3.2530937454570557e-05,0.0,0.0,142.7362769823123,typical
BASN,2023,202300,0.00026981555216941205,0,7962.295283291005,4.484176407066945e-05,0,28.633029802091464,0,0.0010957102941402538,461.93949999999995,73.87392408112362,430.4846505708242,268.49038360450254,0.0010957102941402538,228.36625057788066,461.93949999999995,0,0,268.49038360450254,202.11839999294352,0.0,73.87392408112362,935.7989042897058,5.684341886080802e-14,7.591887637659056e-05,2261.233749429175,-5.684341886080802e-14,2.2536982499303217e-06,9225.718181717157,0.0,945.2826049340039,10171,0.000788903346220901,0.0,0.0,144.10305645528248,peak
BASN,2023,202300,8.970295793176347e-06,0,7031.658827253742,1.5188712084628052e-06,0,28.633194058820422,0,4.807855527254355e-05,461.9395,406.2300630812042,518.110277736062,272.5434923014156,4.807855527254355e-05,315.99187774311844,461.9395,0,0,272.5434923014156,202.11839999294352,23.97506569754535,382.25499738365886,935.7999519214446,0.0,2.6163411348534282e-06,2173.6081222639373,0.0,7.659590725061705e-08,8719.115412998968,0.0,2192.884611038527,10912,2.412061461875574e-05,0.0,0.0,142.18010538696294,typical
BASN,2023,202300,0.00026212972518839956,0,2280.950555444624,4.441454207305095e-05,0,28.63302665603718,0,0.001443591592651675,461.9395,3122.526356445958,484.09202273739527,186.16621024823047,0.001443591592651675,281.97362274445175,461.9395,0,0,186.16621024823047,202.11839999294352,2633.755433676407,488.7709227695509,935.7985564084073,0.0,7.72304490510578e-05,2207.626377262604,-5.684341886080802e-14,2.252578961199624e-06,6564.309421668104,0.0,4465.691282000332,11030,0.0007059193108561457,0.0,0.0,141.8349216939144,peak
BASN,2023,202300,8.196315566289602e-06,0,611.5814155991351,1.4720386538129176e-06,0,28.633193664029683,0,2.8436302771527786e-05,461.9395000000004,4615.347954883515,564.8213292943619,94.89447636176465,2.8436302771527786e-05,362.70292930141846,461.9395000000004,0,0,94.89447636176465,202.11839999294352,4142.897954883515,472.45000000000005,935.7999715636972,-3.979039320256561e-13,0.0,2126.8970707056374,2.7681999483775144e-06,7.647061227876047e-08,6377.217907907464,0.0,4452.78213035273,10830,3.833519752428314e-05,0.0,0.0,134.39298228478958,typical
BASN,2023,202300,0.00023080696962264998,0,302.1949663500415,4.2465306292668245e-05,0,28.63300941938936,0,0.0006411582897874483,461.9395,5500.138275126823,202.12668666237877,52.11287771587649,0.0006411582897874483,0.008286669435246084,461.9395,0,0,52.11287771587649,202.11839999294352,5074.933275126823,425.205,935.7993588417102,0.0,0.0,2489.5917133376206,8.391163026999493e-05,2.2473400472709025e-06,6547.146229705075,0.0,4175.855662128093,10723,0.0018940788227389618,0.0,0.0,130.37133717188397,peak
BASN,2023,202300,7.835479328881093e-06,0,302.19981842524686,1.4481854011756819e-06,0,28.633193430711252,0,2.2136326055240963e-05,461.939497143313,5962.569941191025,415.17469268093896,16.288236700746893,2.2136326055240963e-05,213.05629268799547,461.939497143313,0,0,16.288236700746893,202.11839999294352,5536.505941191024,426.0640000000003,935.7999778636739,2.8566869900714664e-06,-2.8421709430404007e-13,2276.54370731906,1.2079226507921703e-13,7.640440975626401e-08,7186.805410991972,0.0,3441.194651854399,10628,6.291558464906292e-05,0.0,0.0,130.22619051389663,typical
BASN,2023,202300,0.00023079805189808598,0,302.1950187945189,4.246649625905849e-05,0,28.633009448072862,0,0.0006208292322813126,461.9395,6176.539978804689,368.8023879345561,0.39735879473056096,0.0006208292322813126,166.68398794161263,461.9395,0,0,0.39735879473056096,202.11839999294352,5649.973062724398,526.5669160802909,935.7993791707677,0.0,8.391970914090052e-05,2322.9160120654433,0.0,2.247329169103597e-06,7338.508147870348,0.0,3106.493911811004,10445,0.002061926939272116,0.0,0.0,130.40777293162304,peak
BASN,2023,202300,7.839306019903505e-06,0,302.1998000090667,1.4484491874386352e-06,0,28.633193433426293,0,2.1096391319844085e-05,461.93950000000007,6085.971248221685,383.7408287082908,10.272306906900667,2.1096391319844085e-05,181.6224287153473,461.93950000000007,0,0,10.272306906900667,202.11839999294352,5450.311248221685,635.66,935.7999789036087,-5.684341886080802e-14,9.094947017729282e-13,2307.9775712917085,2.8556828706172155e-06,7.640467811106981e-08,7272.756907663515,0.0,3010.2431635289636,10283,7.128442748206594e-05,0.0,0.0,130.27401131732654,typical
BASN,2023,202300,0.0002307673552454968,0,302.1948892713211,4.2462546537790334e-05,0,28.633009391596882,0,0.0005093890101718936,461.9395,5175.629194510031,202.12301251854504,33.879120222178244,0.0005093890101718936,0.0046125256015292935,461.9395,0,0,33.879120222178244,202.11839999294352,4726.372278431557,449.2569160784742,935.7994906109898,0.0,8.39215257997239e-05,2489.595387481454,1.6342482922482304e-13,2.247327020165453e-06,6204.399508532584,0.0,3962.6060538372967,10167,0.005564615537124113,0.0,0.0,130.35676195650518,peak
BASN,2023,202300,8.938026490555116e-06,0,2227.336092411773,1.5170379622116489e-06,0,28.63319404493554,0,2.996209460624002e-05,461.93950000000007,3580.567984706149,274.43260204566354,61.93305047827358,2.996209460624002e-05,72.31420205272003,461.93950000000007,0,0,61.93305047827358,202.11839999294352,3499.821984706149,80.74600000000001,935.7999700379054,-5.684341886080802e-14,2.6219959039508467e-06,2417.2857979543355,-1.4210854715202004e-14,7.658827382326679e-08,6634.842464103955,0.0,3437.157568458936,10072,3.263727962690781e-05,0.0,0.0,141.93239809963458,typical
BASN,2023,202300,0.0002730699451027208,0,7392.922093253055,4.501727910602308e-05,0,28.6330310360635,0,0.0005212493711449927,461.9395,1649.0752793426327,691.2377367323239,36.652153700795225,0.0005212493711449927,489.1193367393804,461.9395,0,0,36.652153700795225,202.11839999294352,1649.0752793426327,0.0,935.7994787506289,0.0,-2.2737367544323206e-13,2000.4806632676755,7.54439156906983e-05,2.254140701716206e-06,10260.460633401468,0.0,-90.45829909178383,10170,0.002336561693593745,0.0,0.0,144.97837429148836,peak
BASN,2023,202300,1.299574900784735e-05,0,8084.899632180571,1.6953060605067405e-06,0,28.633195064668563,0,2.0496793750266535e-05,461.9394977814358,0.0,964.0147175267156,63.68202448584342,2.0496793750266535e-05,761.896317533772,461.9394977814358,0,0,63.68202448584342,202.11839999294352,0.0,0.0,935.7999795032063,2.218564191025507e-06,0.0,1727.7036824732838,-7.105427357601002e-15,7.70003160699754e-08,9603.16910222708,0.0,1220.8309330338143,10824,3.534594862337381e-05,0.0,0.0,167.68131013749843,typical
BASN,2023,202300,0.00045403693182312723,0,8084.899519820937,5.1762443602313963e-05,0,28.633064359124575,0,0.0003436944422172085,461.93943809981954,0.0,777.3010947272508,22.598152139697085,0.0003436944422172085,575.1826947343072,461.93943809981954,0,0,22.598152139697085,202.11839999294352,0.0,0.0,935.7996563055577,6.19001804693653e-05,0.0,1914.4173052727488,0.0,2.2690044260601833e-06,9375.372118640647,0.0,2073.438561615129,11423,25.810682523696343,0.0,0.0,176.70934711918628,peak
BASN,2023,202300,1.5547081886222933e-05,0,8084.89998480525,1.7700635756052395e-06,0,28.633195350776123,0,1.154206787222467e-05,461.9394978976842,0.0,811.8394428155403,20.998421499213407,1.154206787222467e-05,609.7210428225968,461.9394978976842,0,0,20.998421499213407,202.11839999294352,0.0,0.0,935.799988457932,2.1023158183197665e-06,0.0,1879.878957184459,0.0,7.714887139203506e-08,9408.310571227676,0.0,2016.7214528478523,11356,69.03202415194863,0.0,0.0,176.93506435322587,typical
