GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,SuspendGen_total,GenStorageCapacity,GenCapitalRecovery,GenFixedOMCosts
ISNE_ct_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,ISNE,Naturalgas,180,0,.,0,2.41416e+06
ISNE_ct_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,ISNE,Naturalgas,450.7,0,.,0,4.32742e+06
ISNE_ma_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,ISNE,Naturalgas,144.7,0,.,0,1.94072e+06
ISNE_ma_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,ISNE,Naturalgas,808.2,0,.,0,8.48067e+06
ISNE_me_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,ISNE,Naturalgas,183.1,0,.,0,2.00147e+06
ISNE_me_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,ISNE,Naturalgas,5,0,.,0,67060
ISNE_nh_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,ISNE,Naturalgas,5,0,.,0,67060
ISNE_ri_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,ISNE,Naturalgas,15.1,0,.,0,202521
ISNE_ct_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,ISNE,Naturalgas,15.7,0,.,0,376800
ISNE_ma_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,ISNE,Naturalgas,33.4,0,.,0,801600
ISNE_ri_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,ISNE,Naturalgas,14.5,0,.,0,348000
ISNE_ct_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,ISNE,Naturalgas,453.9,0,.,0,2.32864e+07
ISNE_ma_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,ISNE,Naturalgas,37.3,0,.,0,1.9136e+06
ISNE_nh_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,ISNE,Naturalgas,400.2,0,.,0,2.05315e+07
ISNE_ri_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,ISNE,Naturalgas,10.4,0,.,0,533551
MISC_ar_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,MISC,Naturalgas,482,0,.,0,7.94914e+06
MISC_ia_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,MISC,Naturalgas,50,0,.,0,824600
MISC_il_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,MISC,Naturalgas,1047.5,0,.,0,1.02519e+07
MISC_in_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,MISC,Naturalgas,1987,0,.,0,1.94468e+07
MISC_mo_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,MISC,Naturalgas,494.6,0,.,0,8.15694e+06
MISC_ok_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,MISC,Naturalgas,938,0,.,0,9.18021e+06
MISC_il_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,MISC,Naturalgas,3380.8,0,.,0,3.28477e+07
MISC_il_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,MISC,Naturalgas,125,0,.,0,1.6765e+06
MISC_in_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,MISC,Naturalgas,1958,0,.,0,1.82242e+07
MISC_in_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,MISC,Naturalgas,1652.1,0,.,0,1.78173e+07
MISC_ky_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,MISC,Naturalgas,65,0,.,0,871780
MISC_mo_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,MISC,Naturalgas,2020.5,0,.,0,2.07599e+07
MISC_ia_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,MISC,Naturalgas,18,0,.,0,432000
MISC_il_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,MISC,Naturalgas,39.9,0,.,0,957600
MISC_in_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,MISC,Naturalgas,26.4,0,.,0,633600
MISC_mo_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,MISC,Naturalgas,5.3,0,.,0,127200
MISC_il_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,MISC,Naturalgas,89.3,0,.,0,4.58136e+06
MISC_in_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,MISC,Naturalgas,70.6,0,.,0,3.62199e+06
MISC_mo_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,MISC,Naturalgas,56.4,0,.,0,2.89349e+06
