load_zone,period,Coal,Uranium,Naturalgas,Distillate,Hydrogen,Waste_biomass,Fuel,Electricity,Heat,Solar,Water,Wind,UnservedLoad,TXPowerNet
BASN,2023,0.0,0,43235.2829813932,0.0,0,250.82710687871895,0,264.93602608,4046.5944546192122,18741.5728717555,10247.298203963983,3032.320593443879,0.0,17434.316151552805
CANO,2023,0,19622.421504000005,44131.65107557468,0.0,0,2000.9491288185668,0,0.0,0,20332.960242566856,21384.546831004212,3096.1794180911966,0.0,-9600.211295155328
CASO,2023,0.0,0,54819.12725826424,0.0,0,1409.7676169490942,0,687.5861262477374,207.30737918592004,41356.406420966276,3175.1646269325024,15095.732953928973,0.0,39965.33377319306
FRCC,2023,0.0,32736.155875200257,222239.30916388964,0.0,0,1933.7861352153805,0,255.35094963872004,0,17097.24140388474,114.65869114087488,0,0.0,-15065.555817189093
ISNE,2023,0.0,29394.21221280006,73451.97927851476,0.0,0,1990.9574618688346,0,49.71671683174379,0,10497.700525793962,6266.187376433324,3546.6074583235677,0.0,4241.231293538087
MISC,2023,3199.804529342206,20787.50278079997,75064.26815374315,0.0,0,729.3601512979179,0,754.5323374515897,0,3712.4494768329587,1641.9593463151382,13444.00094725085,0.0,69450.90423846152
MISE,2023,458.37967418116443,10170.371145600007,74759.9917138732,0.0,0,1128.792937031995,0,2615.6685929894143,0,2223.002362583833,257.74606447175756,8148.238168438478,0.0,6420.203246635064
MISS,2023,0.0,47531.81208959969,159199.08578523144,0.0,0,912.9331604736028,0,18.719959993600007,0,5039.955357024848,1355.80603432437,0,0.0,-39170.999097851236
MISW,2023,4947.747930726592,25650.184109760132,101073.83091300562,0.0,0,1181.9530552896244,0,58.735132950495945,0,7956.799208073307,4945.87923367816,55711.63991234512,0.0,22834.0382797453
NWPP,2023,0.0,10266.731251200044,25864.771781330906,0.0,0,1249.8571457049454,0,0.0,189.4054235673607,4561.933512467872,144415.45640714065,20805.554333901902,0.0,-22364.36894191138
NYCW,2023,0,0,45106.019402774284,767.4544664382178,0,455.5196231990402,0,33.24572337708279,0,1835.4376945111017,0,0,1251.3311750274597,27906.79920211695
NYUP,2023,0,29418.74023968006,45097.92168810645,0.0,0,1310.9950047052735,0,47.95271667613485,0,4110.638683585591,23228.05930315837,5083.384900156824,0.0,-36724.90799936074
PJMC,2023,0.0,95467.46062176004,59913.45727151598,0.0,0,266.4374439859175,0,131.16907043404308,0,1200.482487283727,100.53512617535891,9609.737160872135,0.0,-44879.32778732499
PJMD,2023,0.0,32482.115596799857,75294.17552723581,0.0,0,1516.0230293933178,0,3610.8573814409306,0,10971.202737984246,625.6005791994394,358.5912983577595,0.0,-7239.304001764685
PJME,2023,98.84380836558502,112385.66716224092,201503.7929587067,0.0,0,2520.8215345411268,0,2493.517974382533,0,12427.956952661654,4285.462610822162,2796.971982507906,0.0,-39343.11910213303
PJMW,2023,2818.8405158307373,55415.820729599836,200360.39232772362,0.0,0,329.8231214495937,0,523.5553154816242,0,6456.769561672171,3940.5940901602776,7951.913446238342,0.0,38560.826690926675
RMRG,2023,96.04586778842614,0,34930.46297843922,0.0,0,84.07769613983876,0,264.6447664840284,0,6790.532092842149,2698.821982079561,25872.71524468458,0.0,12133.677398322674
SPPC,2023,1943.3372031329786,10920.0831609681,22949.747038252197,0.0,0,101.86139162880096,0,3.5649597284000043,0,499.4562140508914,251.12173443532143,24640.8746750851,0.0,17684.191511961173
SPPN,2023,145.996520838295,6745.207392000072,17601.990071733042,0.0,0,169.944186239999,0,8.898232580272001,0,540.0513156938573,10386.428371612496,19064.960399947002,0.0,-5212.118275132698
SPPS,2023,0.0,0,85042.6530258322,0.0,0,258.55615459890254,0,1078.3142240660304,0,1493.6562074166125,3271.5763659011677,56341.29152505943,0.0,-24991.466145130133
SRCA,2023,119.96544237939914,106054.80822431971,98076.08726729488,0.0,0,1109.9851964208008,0,4844.392231519559,0,17592.862889883127,2759.5479762188443,0,0.0,2267.394661448076
SRCE,2023,0.0,73858.26894047996,108408.74510930259,0.0,0,308.6589382559989,0,2494.9173017934945,0,3402.9485408356604,16110.372160860008,16.21525048362302,0.0,17901.42649051977
SRSE,2023,0.0,61022.226873599946,182588.3009109993,0.0,0,2615.4848262815403,0,2800.0941350286535,0,12535.136571936504,5673.120134951548,0,0.0,-16042.670430406883
SRSG,2023,0.0,35066.31842880016,103602.34780318031,0.0,0,310.5073002815993,0,532.3562799804506,1650.0126322310484,20594.55727248661,7739.132665007592,12729.445743621784,0.0,-49253.26484636797
TRE,2023,829.1900300611752,44851.249152000324,244846.31753788138,0.0,0,255.48655598495623,0,2515.621924466006,0,21210.322832493686,566.4641946315301,30999.477956676386,0.0,83759.93955467013
TREW,2023,0,0,14570.721131905753,0.0,0,0,0,2049.652372870302,0,19870.944491465812,0,77452.36424987334,0.0,-91593.9751015877
loadzone,2023,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
