generation_project,timepoint,load_zone,ChargeMW,DischargeMW,StateOfCharge
BASN_batteries_1,202304,BASN,0,0,2195.6
BASN_batteries_1,202304,BASN,0,0,2195.6
BASN_batteries_1,202304,BASN,0,0,2195.6
BASN_batteries_1,202304,BASN,0,0,2195.6
BASN_batteries_1,202304,BASN,0,0,2195.6
BASN_batteries_1,202304,BASN,935.8,0,792.061
BASN_batteries_1,202304,BASN,935.8,0,792.061
BASN_batteries_1,202304,BASN,935.8,0,927.971
BASN_batteries_1,202304,BASN,0,0,0
BASN_batteries_1,202304,BASN,0,0,212.447
BASN_batteries_1,202304,BASN,935.8,0,2195.6
BASN_batteries_1,202304,BASN,935.8,0,1705.86
BASN_batteries_1,202305,BASN,0,0,2195.6
BASN_batteries_1,202305,BASN,0,0,2195.6
BASN_batteries_1,202305,BASN,0,0,2195.6
BASN_batteries_1,202305,BASN,0,0,2195.6
BASN_batteries_1,202305,BASN,0,0,2195.6
BASN_batteries_1,202305,BASN,0,0,2195.6
BASN_batteries_1,202305,BASN,0,0,2195.6
BASN_batteries_1,202305,BASN,0,0,2195.6
BASN_batteries_1,202305,BASN,0,0,2195.6
BASN_batteries_1,202305,BASN,0,0,2195.6
BASN_batteries_1,202305,BASN,0,0,2195.6
BASN_batteries_1,202305,BASN,0,0,2195.6
BASN_batteries_1,202305,BASN,0,0,2195.6
BASN_batteries_1,202305,BASN,0,0,2195.6
BASN_batteries_1,202305,BASN,0,0,2195.6
BASN_batteries_1,202305,BASN,0,0,2195.6
BASN_batteries_1,202305,BASN,0,0,2195.6
BASN_batteries_1,202305,BASN,722.445,0,1403.54
BASN_batteries_1,202305,BASN,935.8,0,1584.12
BASN_batteries_1,202305,BASN,561.871,0,1403.54
BASN_batteries_1,202305,BASN,232.017,0,196.379
BASN_batteries_1,202305,BASN,935.8,0,1004.51
BASN_batteries_1,202305,BASN,0,0,2195.6
BASN_batteries_1,202305,BASN,214.392,0,1887.32
BASN_batteries_1,202306,BASN,0,0,2195.6
BASN_batteries_1,202306,BASN,0,0,2195.6
BASN_batteries_1,202306,BASN,0,0,2195.6
BASN_batteries_1,202306,BASN,0,0,2195.6
BASN_batteries_1,202306,BASN,0,0,2195.6
BASN_batteries_1,202306,BASN,0,0,2195.6
BASN_batteries_1,202306,BASN,0,0,2195.6
BASN_batteries_1,202306,BASN,0,0,2195.6
BASN_batteries_1,202306,BASN,0,0,2195.6
BASN_batteries_1,202306,BASN,0,0,2195.6
BASN_batteries_1,202306,BASN,0,0,2195.6
BASN_batteries_1,202306,BASN,0,0,2195.6
BASN_batteries_1,202306,BASN,0,0,2195.6
BASN_batteries_1,202306,BASN,0,0,2195.6
BASN_batteries_1,202306,BASN,0,0,2195.6
BASN_batteries_1,202306,BASN,0,0,2195.6
BASN_batteries_1,202306,BASN,0,0,2195.6
BASN_batteries_1,202306,BASN,935.8,0,2195.6
BASN_batteries_1,202306,BASN,722.445,0,2195.6
BASN_batteries_1,202306,BASN,0,0,1403.54
BASN_batteries_1,202306,BASN,935.8,0,988.44
BASN_batteries_1,202306,BASN,141.024,0,1123.87
BASN_batteries_1,202306,BASN,0,0,2195.6
BASN_batteries_1,202306,BASN,0,0,1887.32
BASN_batteries_1,202307,BASN,0,0,2195.6
BASN_batteries_1,202307,BASN,0,0,2195.6
BASN_batteries_1,202307,BASN,0,0,2195.6
BASN_batteries_1,202307,BASN,0,0,2195.6
BASN_batteries_1,202307,BASN,0,0,2195.6
BASN_batteries_1,202307,BASN,0,0,2195.6
BASN_batteries_1,202307,BASN,0,0,2195.6
BASN_batteries_1,202307,BASN,0,0,2195.6
BASN_batteries_1,202307,BASN,0,0,2195.6
BASN_batteries_1,202307,BASN,0,0,2195.6
BASN_batteries_1,202307,BASN,0,0,2195.6
BASN_batteries_1,202307,BASN,0,0,2195.6
BASN_batteries_1,202307,BASN,0,0,2195.6
BASN_batteries_1,202307,BASN,0,0,2195.6
BASN_batteries_1,202307,BASN,0,0,2195.6
BASN_batteries_1,202307,BASN,0,0,2195.6
BASN_batteries_1,202307,BASN,0,0,2195.6
BASN_batteries_1,202307,BASN,0,0,2195.6
BASN_batteries_1,202307,BASN,0,0,2195.6
BASN_batteries_1,202307,BASN,935.8,0,2195.6
BASN_batteries_1,202307,BASN,935.8,0,1780.5
BASN_batteries_1,202307,BASN,935.8,0,1915.93
BASN_batteries_1,202307,BASN,0,0,2195.6
BASN_batteries_1,202307,BASN,364.221,0,2195.6
BASN_batteries_1,202308,BASN,0,0,2195.6
BASN_batteries_1,202308,BASN,0,0,2195.6
BASN_batteries_1,202308,BASN,0,0,2195.6
BASN_batteries_1,202308,BASN,0,0,2195.6
BASN_batteries_1,202308,BASN,0,0,2195.6
BASN_batteries_1,202308,BASN,0,0,2195.6
BASN_batteries_1,202308,BASN,0,0,2195.6
BASN_batteries_1,202308,BASN,0,0,2195.6
BASN_batteries_1,202308,BASN,0,0,2195.6
BASN_batteries_1,202308,BASN,0,0,2195.6
BASN_batteries_1,202308,BASN,0,0,2195.6
BASN_batteries_1,202308,BASN,0,0,2195.6
BASN_batteries_1,202308,BASN,0,0,2195.6
BASN_batteries_1,202308,BASN,0,0,2195.6
BASN_batteries_1,202308,BASN,0,0,2195.6
BASN_batteries_1,202308,BASN,0,0,2195.6
BASN_batteries_1,202308,BASN,0,0,2195.6
BASN_batteries_1,202308,BASN,0,0,2195.6
BASN_batteries_1,202308,BASN,0,0,2195.6
BASN_batteries_1,202308,BASN,0,0,2195.6
BASN_batteries_1,202308,BASN,0,0,1780.5
BASN_batteries_1,202308,BASN,0,0,1915.93
BASN_batteries_1,202308,BASN,0,0,2195.6
BASN_batteries_1,202308,BASN,0,0,2195.6
BASN_batteries_1,202309,BASN,0,0,2195.6
BASN_batteries_1,202309,BASN,0,0,2195.6
BASN_batteries_1,202309,BASN,0,0,2195.6
BASN_batteries_1,202309,BASN,0,0,2195.6
BASN_batteries_1,202309,BASN,0,0,2195.6
BASN_batteries_1,202309,BASN,0,0,2195.6
BASN_batteries_1,202309,BASN,0,0,2195.6
BASN_batteries_1,202309,BASN,0,0,2195.6
BASN_batteries_1,202309,BASN,0,0,2195.6
BASN_batteries_1,202309,BASN,0,0,2195.6
BASN_batteries_1,202309,BASN,0,0,2195.6
BASN_batteries_1,202309,BASN,0,0,2195.6
BASN_batteries_1,202309,BASN,0,0,2195.6
BASN_batteries_1,202309,BASN,0,0,2195.6
BASN_batteries_1,202309,BASN,0,0,2195.6
BASN_batteries_1,202309,BASN,0,0,2195.6
BASN_batteries_1,202309,BASN,0,0,2195.6
BASN_batteries_1,202309,BASN,0,0,2195.6
BASN_batteries_1,202309,BASN,0,0,2195.6
BASN_batteries_1,202309,BASN,0,0,2195.6
BASN_batteries_1,202309,BASN,0,0,1780.5
BASN_batteries_1,202309,BASN,330.421,0,2195.6
BASN_batteries_1,202309,BASN,0,0,2195.6
BASN_batteries_1,202309,BASN,0,0,2195.6
BASN_batteries_1,202310,BASN,0,0,2195.6
BASN_batteries_1,202310,BASN,0,0,2195.6
BASN_batteries_1,202310,BASN,0,0,2195.6
BASN_batteries_1,202310,BASN,0,0,2195.6
BASN_batteries_1,202310,BASN,0,0,2195.6
BASN_batteries_1,202310,BASN,0,0,2195.6
BASN_batteries_1,202310,BASN,0,0,2195.6
BASN_batteries_1,202310,BASN,0,0,2195.6
BASN_batteries_1,202310,BASN,0,0,2195.6
BASN_batteries_1,202310,BASN,0,0,2195.6
