STORAGE_GEN_BLD_YRS_1,STORAGE_GEN_BLD_YRS_2,BuildStorageEnergy
ISNE_batteries_1,2021,245.9
ISNE_batteries_1,2022,130.7
ISNE_batteries_1,2023,86.7
ISNE_batteries_1,2024,48.8
ISNE_hydroelectric_pumped_storage_1,1928,418.5
ISNE_hydroelectric_pumped_storage_1,1929,31.0
ISNE_hydroelectric_pumped_storage_1,1972,4526.0
ISNE_hydroelectric_pumped_storage_1,1973,13578.0
ISNE_hydroelectric_pumped_storage_1,1974,9811.5
MISC_batteries_1,2016,40.0
MISC_batteries_1,2017,0.5
MISC_batteries_1,2019,9.6
MISC_batteries_1,2020,10.0
MISC_hydroelectric_pumped_storage_1,1963,6820.0
MISC_hydroelectric_pumped_storage_1,1984,480.5
MISE_batteries_1,2018,1.0
MISE_batteries_1,2021,0.5
MISE_hydroelectric_pumped_storage_1,1973,32782.5
MISS_batteries_1,2016,0.5
MISS_batteries_1,2022,30.0
MISW_batteries_1,2018,34.0
MISW_batteries_1,2020,0.6
MISW_batteries_1,2021,2.9
MISW_batteries_1,2022,13.4
MISW_batteries_1,2023,12.0
NWPP_batteries_1,2013,10.0
NWPP_batteries_1,2015,2.0
NWPP_batteries_1,2016,6.0
NWPP_batteries_1,2020,4.0
NWPP_batteries_1,2021,1.4
NWPP_batteries_1,2022,120.0
NWPP_batteries_1,2025,200.0
NWPP_hydroelectric_pumped_storage_1,1973,1550.0
NWPP_hydroelectric_pumped_storage_1,1983,2487.75
NWPP_hydroelectric_pumped_storage_1,1984,829.25
NYCW_batteries_1,1970,2.0
NYCW_batteries_1,1998,1.0
NYCW_batteries_1,2018,40.0
NYCW_batteries_1,2019,40.0
NYCW_batteries_1,2021,12.0
NYCW_batteries_1,2023,15.0
NYCW_batteries_1,2024,9.8
NYUP_batteries_1,2017,1.3
NYUP_batteries_1,2018,4.2
NYUP_batteries_1,2019,68.4
NYUP_batteries_1,2020,38.3
NYUP_batteries_1,2021,64.7
NYUP_batteries_1,2022,127.5
NYUP_batteries_1,2023,90.0
NYUP_hydroelectric_pumped_storage_1,1961,930.0
NYUP_hydroelectric_pumped_storage_1,1962,2790.0
NYUP_hydroelectric_pumped_storage_1,1973,18083.85
PJMC_batteries_1,2013,9.0
PJMC_batteries_1,2014,40.0
PJMC_batteries_1,2015,63.0
PJMC_batteries_1,2016,39.6
PJMC_batteries_1,2018,20.0
PJMD_batteries_1,2021,10.0
PJMD_batteries_1,2022,24.6
PJMD_batteries_1,2023,40.0
PJMD_hydroelectric_pumped_storage_1,1985,46546.5
PJME_batteries_1,2015,13.1
PJME_batteries_1,2016,22.8
PJME_batteries_1,2018,20.8
PJME_batteries_1,2019,21.900000000000002
PJME_batteries_1,2021,8.6
PJME_batteries_1,2022,4.3
PJME_batteries_1,2023,54.0
PJME_hydroelectric_pumped_storage_1,1965,6510.0
PJME_hydroelectric_pumped_storage_1,1967,12431.0
PJME_hydroelectric_pumped_storage_1,1968,4154.0
PJME_hydroelectric_pumped_storage_1,1970,7006.0
PJMW_batteries_1,2011,42.0
PJMW_batteries_1,2014,8.0
PJMW_batteries_1,2015,81.0
PJMW_batteries_1,2016,19.0
PJMW_batteries_1,2021,1.6
PJMW_batteries_1,2023,36.0
PJMW_hydroelectric_pumped_storage_1,1965,1023.0
PJMW_hydroelectric_pumped_storage_1,1966,1023.0
PJMW_hydroelectric_pumped_storage_1,1980,1643.0
RMRG_batteries_1,2017,2.2
RMRG_batteries_1,2018,24.5
RMRG_batteries_1,2021,2.0
RMRG_batteries_1,2023,335.0
RMRG_hydroelectric_pumped_storage_1,1954,131.75
RMRG_hydroelectric_pumped_storage_1,1967,5305.65
RMRG_hydroelectric_pumped_storage_1,1981,1782.5
RMRG_hydroelectric_pumped_storage_1,1984,1782.5
SPPC_batteries_1,2012,2.0
SPPC_batteries_1,2017,1.5
SPPN_batteries_1,2018,1.6
SPPN_batteries_1,2020,3.0
SPPN_batteries_1,2021,6.0
SPPN_batteries_1,2022,2.1
SPPS_batteries_1,2019,26.2
SPPS_batteries_1,2020,20.0
SPPS_batteries_1,2024,400.0
SPPS_hydroelectric_pumped_storage_1,1968,1999.5
SPPS_hydroelectric_pumped_storage_1,1971,1999.5
SPPS_hydroelectric_pumped_storage_1,1972,465.0
SPPS_hydroelectric_pumped_storage_1,1979,480.5
SPPS_hydroelectric_pumped_storage_1,1981,480.5
SPPS_hydroelectric_pumped_storage_1,1982,1922.0
SRCA_batteries_1,2017,2.0
SRCA_batteries_1,2018,4.0
SRCA_batteries_1,2019,1.0
SRCA_batteries_1,2020,8.8
SRCA_batteries_1,2021,2.0
SRCA_batteries_1,2022,21.3
SRCA_batteries_1,2023,261.6
SRCA_hydroelectric_pumped_storage_1,1973,6045.0
SRCA_hydroelectric_pumped_storage_1,1975,6045.0
SRCA_hydroelectric_pumped_storage_1,1978,8928.0
SRCA_hydroelectric_pumped_storage_1,1991,23560.0
SRCE_batteries_1,2017,2.0
SRCE_batteries_1,2023,242.6
SRCE_hydroelectric_pumped_storage_1,1956,1046.25
SRCE_hydroelectric_pumped_storage_1,1978,6263.55
SRCE_hydroelectric_pumped_storage_1,1979,18789.1
SRSE_batteries_1,2020,4.4
SRSE_batteries_1,2021,80.0
SRSE_batteries_1,2022,94.3
SRSE_batteries_1,2024,130.0
SRSE_hydroelectric_pumped_storage_1,1977,4960.0
SRSE_hydroelectric_pumped_storage_1,1979,826.15
SRSE_hydroelectric_pumped_storage_1,1980,2478.45
SRSE_hydroelectric_pumped_storage_1,1995,16042.5
SRSE_hydroelectric_pumped_storage_1,2002,5084.0
SRSG_batteries_1,2011,1.6
SRSG_batteries_1,2016,58.0
SRSG_batteries_1,2017,40.0
SRSG_batteries_1,2018,49.0
SRSG_batteries_1,2019,40.0
SRSG_batteries_1,2021,110.0
SRSG_batteries_1,2022,277.0
SRSG_batteries_1,2023,2640.0
SRSG_batteries_1,2024,980.0
SRSG_hydroelectric_pumped_storage_1,1971,888.15
SRSG_hydroelectric_pumped_storage_1,1972,1844.5
SRSG_hydroelectric_pumped_storage_1,1993,620.0
TRE_batteries_1,2018,3.0
TRE_batteries_1,2019,10.0
TRE_batteries_1,2020,91.2
TRE_batteries_1,2021,660.6
TRE_batteries_1,2022,954.4
TRE_batteries_1,2023,2051.7
TRE_batteries_1,2024,648.0
TRE_batteries_1,2025,200.0
TREW_batteries_1,2012,72.0
TREW_batteries_1,2017,64.0
TREW_batteries_1,2018,39.6
TREW_batteries_1,2019,42.0
TREW_batteries_1,2020,44.3
TREW_batteries_1,2021,106.5
TREW_batteries_1,2022,987.0
TREW_batteries_1,2023,1797.9
TREW_batteries_1,2024,400.0
