GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,BuildGen,BuildStorageEnergy,GenCapitalOutlay
ISNE_ri_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,ISNE,Naturalgas,.,.,.
ISNE_ct_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,ISNE,Naturalgas,.,.,.
ISNE_ma_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,ISNE,Naturalgas,.,.,.
ISNE_ri_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,ISNE,Naturalgas,.,.,.
ISNE_ct_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,ISNE,Naturalgas,.,.,.
ISNE_ma_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,ISNE,Naturalgas,.,.,.
ISNE_nh_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,ISNE,Naturalgas,.,.,.
ISNE_ri_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,ISNE,Naturalgas,.,.,.
MISC_ar_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,MISC,Naturalgas,.,.,.
MISC_ia_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,MISC,Naturalgas,.,.,.
MISC_il_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,MISC,Naturalgas,.,.,.
MISC_in_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,MISC,Naturalgas,.,.,.
MISC_mo_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,MISC,Naturalgas,.,.,.
MISC_ok_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,MISC,Naturalgas,.,.,.
MISC_il_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,MISC,Naturalgas,.,.,.
MISC_il_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,MISC,Naturalgas,.,.,.
MISC_in_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,MISC,Naturalgas,.,.,.
MISC_in_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,MISC,Naturalgas,.,.,.
MISC_ky_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,MISC,Naturalgas,.,.,.
MISC_mo_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,MISC,Naturalgas,.,.,.
MISC_ia_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,MISC,Naturalgas,.,.,.
MISC_il_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,MISC,Naturalgas,.,.,.
MISC_in_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,MISC,Naturalgas,.,.,.
MISC_mo_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,MISC,Naturalgas,.,.,.
MISC_il_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,MISC,Naturalgas,.,.,.
MISC_in_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,MISC,Naturalgas,.,.,.
MISC_mo_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,MISC,Naturalgas,8,.,0
MISE_mi_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,MISE,Naturalgas,.,.,.
MISE_mi_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,MISE,Naturalgas,.,.,.
MISE_mi_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,MISE,Naturalgas,.,.,.
MISE_mi_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,MISE,Naturalgas,.,.,.
MISE_mi_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,MISE,Naturalgas,.,.,.
MISE_mi_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,MISE,Naturalgas,.,.,.
MISS_ar_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,MISS,Naturalgas,.,.,.
MISS_ar_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,MISS,Naturalgas,.,.,.
MISS_la_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,MISS,Naturalgas,.,.,.
MISS_la_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,MISS,Naturalgas,.,.,.
MISS_ms_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,MISS,Naturalgas,.,.,.
MISS_ms_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,MISS,Naturalgas,924,.,0
MISS_tx_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,MISS,Naturalgas,.,.,.
MISS_tx_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,MISS,Naturalgas,.,.,.
MISS_ar_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,MISS,Naturalgas,.,.,.
MISS_la_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,MISS,Naturalgas,.,.,.
MISS_la_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,MISS,Naturalgas,.,.,.
MISS_ms_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,MISS,Naturalgas,.,.,.
MISS_ms_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,MISS,Naturalgas,.,.,.
MISS_tx_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,MISS,Naturalgas,.,.,.
MISS_tx_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,MISS,Naturalgas,.,.,.
MISS_la_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,MISS,Naturalgas,.,.,.
MISS_ms_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,MISS,Naturalgas,.,.,.
MISS_tx_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,MISS,Naturalgas,.,.,.
MISS_ar_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,MISS,Naturalgas,.,.,.
MISS_la_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,MISS,Naturalgas,.,.,.
MISS_la_natural_gas_steam_turbine_2,2023,Natural Gas Steam Turbine,MISS,Naturalgas,.,.,.
MISS_ms_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,MISS,Naturalgas,.,.,.
MISS_ms_natural_gas_steam_turbine_2,2023,Natural Gas Steam Turbine,MISS,Naturalgas,.,.,.
MISS_tx_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,MISS,Naturalgas,.,.,.
MISS_tx_natural_gas_steam_turbine_2,2023,Natural Gas Steam Turbine,MISS,Naturalgas,.,.,.
MISW_ia_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,MISW,Naturalgas,.,.,.
MISW_ia_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,MISW,Naturalgas,.,.,.
MISW_mn_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,MISW,Naturalgas,.,.,.
MISW_mn_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,MISW,Naturalgas,.,.,.
MISW_wi_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,MISW,Naturalgas,.,.,.
MISW_wi_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,MISW,Naturalgas,.,.,.
MISW_ia_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,MISW,Naturalgas,.,.,.
MISW_ia_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,MISW,Naturalgas,.,.,.
MISW_ia_natural_gas_fired_combustion_turbine_3,2023,Natural Gas Fired Combustion Turbine,MISW,Naturalgas,.,.,.
MISW_mn_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,MISW,Naturalgas,.,.,.
MISW_mn_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,MISW,Naturalgas,.,.,.
MISW_mn_natural_gas_fired_combustion_turbine_3,2023,Natural Gas Fired Combustion Turbine,MISW,Naturalgas,.,.,.
MISW_mt_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,MISW,Naturalgas,.,.,.
MISW_mt_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,MISW,Naturalgas,.,.,.
MISW_nd_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,MISW,Naturalgas,.,.,.
MISW_nd_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,MISW,Naturalgas,101,.,0
MISW_sd_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,MISW,Naturalgas,.,.,.
MISW_wi_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,MISW,Naturalgas,.,.,.
MISW_wi_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,MISW,Naturalgas,.,.,.
MISW_ia_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,MISW,Naturalgas,.,.,.
MISW_il_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,MISW,Naturalgas,.,.,.
MISW_mi_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,MISW,Naturalgas,.,.,.
MISW_mn_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,MISW,Naturalgas,.,.,.
MISW_mt_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,MISW,Naturalgas,.,.,.
MISW_wi_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,MISW,Naturalgas,131.6,.,0
MISW_ia_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,MISW,Naturalgas,.,.,.
MISW_mn_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,MISW,Naturalgas,.,.,.
MISW_wi_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,MISW,Naturalgas,.,.,.
NWPP_id_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,NWPP,Naturalgas,.,.,.
NWPP_or_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,NWPP,Naturalgas,.,.,.
NWPP_wa_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,NWPP,Naturalgas,.,.,.
NWPP_id_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,NWPP,Naturalgas,.,.,.
NWPP_id_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,NWPP,Naturalgas,.,.,.
NWPP_mt_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,NWPP,Naturalgas,.,.,.
NWPP_or_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,NWPP,Naturalgas,.,.,.
NWPP_or_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,NWPP,Naturalgas,.,.,.
NWPP_wa_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,NWPP,Naturalgas,.,.,.
NWPP_wa_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,NWPP,Naturalgas,.,.,.
NWPP_mt_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,NWPP,Naturalgas,.,.,.
NWPP_or_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,NWPP,Naturalgas,.,.,.
NWPP_wa_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,NWPP,Naturalgas,.,.,.
NWPP_wa_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,NWPP,Naturalgas,3,.,0
NYCW_nj_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,NYCW,Naturalgas,.,.,.
NYCW_ny_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,NYCW,Naturalgas,.,.,.
NYCW_nj_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,NYCW,Naturalgas,.,.,.
NYCW_ny_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,NYCW,Naturalgas,.,.,.
NYCW_ny_natural_gas_fired_combustion_turbine_3,2023,Natural Gas Fired Combustion Turbine,NYCW,Naturalgas,.,.,.
NYCW_ny_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,NYCW,Naturalgas,2.6,.,0
NYCW_ny_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,NYCW,Naturalgas,.,.,.
NYUP_ny_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,NYUP,Naturalgas,.,.,.
NYUP_ny_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,NYUP,Naturalgas,.,.,.
NYUP_ny_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,NYUP,Naturalgas,.,.,.
NYUP_ny_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,NYUP,Naturalgas,.,.,.
NYUP_ny_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,NYUP,Naturalgas,.,.,.
PJMC_il_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,PJMC,Naturalgas,1250,.,0
PJMC_il_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,PJMC,Naturalgas,.,.,.
PJMC_il_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,PJMC,Naturalgas,.,.,.
PJMC_il_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,PJMC,Naturalgas,314,.,0
PJMC_il_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,PJMC,Naturalgas,.,.,.
PJMC_il_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,PJMC,Naturalgas,.,.,.
PJMD_va_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,PJMD,Naturalgas,.,.,.
PJMD_va_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,PJMD,Naturalgas,.,.,.
PJMD_va_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,PJMD,Naturalgas,.,.,.
PJMD_va_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,PJMD,Naturalgas,.,.,.
PJMD_va_natural_gas_fired_combustion_turbine_3,2023,Natural Gas Fired Combustion Turbine,PJMD,Naturalgas,.,.,.
PJMD_va_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,PJMD,Naturalgas,2,.,0
PJMD_va_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,PJMD,Naturalgas,.,.,.
PJME_de_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,PJME,Naturalgas,.,.,.
PJME_de_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,PJME,Naturalgas,.,.,.
PJME_md_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,PJME,Naturalgas,.,.,.
PJME_md_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,PJME,Naturalgas,.,.,.
PJME_nj_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,PJME,Naturalgas,.,.,.
PJME_nj_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,PJME,Naturalgas,.,.,.
PJME_pa_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,PJME,Naturalgas,.,.,.
PJME_pa_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,PJME,Naturalgas,.,.,.
PJME_dc_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,PJME,Naturalgas,.,.,.
PJME_dc_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,PJME,Naturalgas,.,.,.
PJME_de_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,PJME,Naturalgas,.,.,.
PJME_de_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,PJME,Naturalgas,.,.,.
PJME_de_natural_gas_fired_combustion_turbine_3,2023,Natural Gas Fired Combustion Turbine,PJME,Naturalgas,.,.,.
PJME_md_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,PJME,Naturalgas,.,.,.
PJME_md_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,PJME,Naturalgas,.,.,.
PJME_md_natural_gas_fired_combustion_turbine_3,2023,Natural Gas Fired Combustion Turbine,PJME,Naturalgas,.,.,.
PJME_nj_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,PJME,Naturalgas,.,.,.
PJME_nj_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,PJME,Naturalgas,.,.,.
PJME_nj_natural_gas_fired_combustion_turbine_3,2023,Natural Gas Fired Combustion Turbine,PJME,Naturalgas,.,.,.
PJME_pa_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,PJME,Naturalgas,.,.,.
PJME_pa_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,PJME,Naturalgas,.,.,.
PJME_pa_natural_gas_fired_combustion_turbine_3,2023,Natural Gas Fired Combustion Turbine,PJME,Naturalgas,.,.,.
PJME_md_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,PJME,Naturalgas,1.8,.,0
PJME_nj_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,PJME,Naturalgas,.,.,.
PJME_pa_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,PJME,Naturalgas,3.5,.,0
PJME_md_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,PJME,Naturalgas,.,.,.
PJME_nj_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,PJME,Naturalgas,.,.,.
PJME_pa_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,PJME,Naturalgas,.,.,.
PJMW_in_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,PJMW,Naturalgas,.,.,.
PJMW_in_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,PJMW,Naturalgas,.,.,.
PJMW_mi_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,PJMW,Naturalgas,.,.,.
