load_zone,period,Batteries,Biomass,Conventional Hydroelectric,Conventional Steam Coal,Geothermal,Hydroelectric Pumped Storage,Natural Gas Fired Combined Cycle,Natural Gas Fired Combustion Turbine,Natural Gas Internal Combustion Engine,Natural Gas Steam Turbine,Nuclear,Offshore Wind Turbine,Onshore Wind Turbine,Petroleum Liquids,Small Hydroelectric,Solar Photovoltaic,distributed_generation,UnservedLoad,TXPowerNet
BASN,2023,264.93646305900035,250.82701085332744,8476.739037006071,0.00025932111616658006,4046.5944388468147,0.0,42740.53950254657,189.86831442179147,294.85939361293225,10.012501447804468,0.0,0.0,3032.320577927362,2.6717121864776955e-05,1770.5591242748276,16725.045035593583,2016.5278247852384,1.2997984722979421e-06,17434.31939426917
CANO,2023,0.0005123150188206622,2000.9490209941068,19282.20755306039,0.0,0.0,0.0002780289652402356,44079.182944722816,0.00022867534022692754,51.84798021231986,0.6179340945490177,19622.42145453487,0.0,3096.1793879785146,2.2774096508836563e-05,2102.3392318658507,12260.32604582479,8072.634180922239,1.2965689652730675e-06,-9600.20889869298
CASO,2023,687.5859107494009,1409.7675147692353,2530.5312447441192,8.308732943790019e-05,207.30736416671763,0.00029634986776960536,53170.77100854675,1528.4607184044992,119.87364254100868,5.408999683821069e-05,0.0,0.0,15095.732937427756,2.5513460164937192e-05,644.6333383885212,28794.468121966278,12561.938286665878,1.2988932483794316e-06,39965.35574722479
FRCC,2023,255.35189055652393,1933.7859873652246,114.6586327595823,8.267101434323929e-05,0.0,0.0,220655.24467309372,1429.8302857794788,154.23391892957716,0.00017976653264353617,32736.155810676348,0.0,0.0,1.8716565786431637e-05,0.0,14228.313716565972,2868.927655625399,1.2892609270805676e-06,-15065.555340856956
ISNE,2023,24.758104708138678,1990.9573324898731,3587.4692451315905,4.045717723692451e-05,0.0,24.959833022054134,73356.02137384629,50.98138541605674,38.29482561641988,6.684854651626645,29394.212156509046,122.14091392886431,3424.466507110347,2.093067862169204e-05,2678.718079507612,4942.6793842396555,5555.021127077938,1.2926674992201187e-06,4241.228634227575
MISC,2023,45.29324189383396,729.3600636434286,1462.2669825547018,3199.8063801258645,0.0,715.5903476315827,42694.13086220607,30787.884622647773,486.4663914855654,1095.7809489338347,20787.502738385134,0.0,13444.000921991224,3.3843050014013846e-05,179.69232487253845,3064.101046293167,648.3484161552552,1.3037791913313696e-06,69453.02554993366
MISE,2023,1.164798095953828,1128.7928437469152,96.77033664629427,458.38031604789194,0.0,2607.844649824582,54000.63252398636,19780.1636022566,979.1991732791058,6.982385361658879e-05,10170.371102447127,0.0,8148.238142837959,3.00029510438866e-05,160.97568835440433,1929.744081849391,293.25826649133796,1.3026762242165933e-06,6417.978713682466
MISS,2023,18.720215484249287,912.933041949095,1328.5430831494473,0.00012477308898247827,0.0,0.0,142192.40031350905,8471.155006271756,458.7589497535289,8076.79700981042,47531.812033739894,0.0,0.0,1.9164533146736514e-05,27.26290182635492,3252.072781599048,1787.882547630831,1.2936107375749432e-06,-39171.02443925376
MISW,2023,58.73530258792237,1181.9529634444557,293.4380973004357,4947.749067265527,0.0,0.0,67891.47915560563,26961.350427772628,5228.209063501172,992.7775684070755,25650.18406698905,0.0,55711.639884131524,2.708549553092092e-05,4652.441098516537,6300.295614193249,1656.503582128966,1.3046404512691808e-06,22834.052055881803
NWPP,2023,0.0005290961787299807,1249.8570236680791,140351.6773943287,0.00011336259088649848,189.40540475946042,0.00029315754961791953,25670.46997106193,0.0005410622013481285,192.11239379293204,2.1903785265692264,10266.731198181475,0.0,20805.554316889626,3.0357420083336603e-05,4063.778965375794,3282.1027958781733,1279.830703384063,1.29435719911293e-06,-22364.370122194723
NYCW,2023,33.24527255769443,455.5195191032068,0.0,0.0,0.0,0.0,36524.28837944711,6191.280455270502,298.3606997753986,2092.0908765171616,0.0,0.0,0.0,767.4545022366376,0.0,316.94440390799656,1518.493268529057,1251.331177136456,27906.798200333375
NYUP,2023,47.95328806662378,1310.9948510970264,18651.28623024302,0.0,0.0,0.0005693901024017873,45071.77990246085,0.0001926583955895422,26.13680352980496,0.00012924972445054495,29418.74017205586,0.0,5083.384860515175,2.5997666964018318e-05,4576.77301154518,2983.8415362206215,1126.7971260353472,1.2875025158005517e-06,-36724.902729313144
PJMC,2023,131.16918204257414,266.437343043189,7.007965857255033,0.0001518925089550451,0.0,0.0,41629.02085820791,17483.782189772486,800.6460404047652,2.0770398401449363e-05,95467.46057565454,0.0,9609.737135259553,3.6554857372851395e-05,93.52711843442177,686.9639792575243,513.5184912440061,1.3008653914258245e-06,-44879.31956313164
PJMD,2023,55.901285185024,1516.0229181887266,585.7100796000328,0.00010415101922971171,0.0,3585.8605661417487,66765.51612617238,8385.355497783636,16.086263384919537,127.21655862652709,32482.11554675679,0.0,358.5912752442109,2.483799873144898e-05,39.89045564513738,10355.249826992276,615.9528923492011,1.297384723322532e-06,-7228.998329640751
