gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Batteries,BASN,Electricity,2023,-48.07912760620039,39740.403911999994,0.0,935.8,0.0,6996040.8,26.556528789283938,0.03231866365645536,313.01515368620034,264.93602608
Batteries,CANO,Electricity,2023,0.0,0.0,0.0,2273.6,0.0,16997433.6,0.0,0.0,0.0,0.0
Batteries,CASO,Electricity,2023,-124.77933482000515,103137.91893716062,0.0,6682.4,0.0,49957622.39999999,72.80653056821605,0.011746001572069382,812.3654610677424,687.5861262477374
Batteries,FRCC,Electricity,2023,-46.339680841809276,38302.64244580799,0.0,555.1999999999999,0.0,4150675.1999999997,16.404786621598742,0.0525029175800669,301.69063048052925,255.35094963871995
Batteries,ISNE,Electricity,2023,-4.492806540714479,3713.585406309318,0.0,344.0,0.0,2571744.0,104.02847801873563,0.008215597095304462,29.2500425827766,24.757236042062125
Batteries,MISC,Electricity,2023,-8.219662425765495,6794.0647237968005,0.0,36.3,0.0,271378.8,6.141526671422607,0.14243844166560957,53.513427251077495,45.293764825311996
Batteries,MISE,Electricity,2023,-0.21116311835196974,174.5395150128,0.0,1.3,0.0,9718.8,8.502377969499284,0.1021773350525868,1.3747598851039697,1.163596766752
Batteries,MISS,Electricity,2023,-3.397195008290361,2807.9939990399994,0.0,10.5,0.0,78498.0,4.343278192198968,0.20352184690799988,22.11715500189036,18.719959993599996
Batteries,MISW,Electricity,2023,-10.658927718804563,8810.2699425744,0.0,31.200000000000003,0.0,233251.2,4.121238137769982,0.2149011700302129,69.39406066930056,58.735132950495995
Batteries,NWPP,Electricity,2023,0.0,0.0,0.0,41.0,0.0,306516.0,0.0,0.0,0.0,0.0
Batteries,NYCW,Electricity,2023,-6.0332503671076365,4986.858506562412,0.0,19.3,0.0,144286.8,4.490010844807218,0.19664091929550967,39.27897374419039,33.245723377082754
Batteries,NYUP,Electricity,2023,-8.70219433064073,7192.907501420226,0.0,170.0,0.0,1270920.0,26.65360788907113,0.032200284800745396,56.65491100677556,47.95271667613484
Batteries,PJMC,Electricity,2023,-23.803838868937866,19675.360565106468,0.0,95.8,0.0,716200.8,5.610134753033365,0.15630085352770012,154.972909302981,131.16907043404314
Batteries,PJMD,Electricity,2023,-10.145332056259505,8385.751027752,0.0,40.5,0.0,302778.0,5.565937087769114,0.1575763729240267,66.05033890793949,55.905006851679985
Batteries,PJME,Electricity,2023,-22.835601143771388,18875.051570398544,0.0,107.00000000000001,0.0,799932.0000000001,6.507058127892916,0.13424821750973123,148.6692782797617,125.83367713599031
Batteries,PJMW,Electricity,2023,-25.485055344224705,21064.991057960728,0.0,97.3,0.0,727414.8,5.329789523754158,0.1647603089588159,165.91832906396291,140.4332737197382
Batteries,RMRG,Electricity,2023,-28.63864607728604,23671.63089825675,0.0,240.2,0.0,1795735.2,11.529033458139823,0.07499966718745245,186.44951873233106,157.81087265504502
Batteries,SPPC,Electricity,2023,-0.6469492134714556,534.74395926,0.0,2.2,0.0,16447.199999999997,4.763572453280339,0.18498110323781125,4.211908941871455,3.5649597283999994
Batteries,SPPN,Electricity,2023,-1.6148021317695869,1334.7348870407998,0.0,4.699999999999999,0.0,35137.2,4.098784175174475,0.21612316207118737,10.513034712041584,8.898232580271998
Batteries,SPPS,Electricity,2023,-7.406764182173752,6122.153519328,0.0,22.0,0.0,164472.0,4.179758470138461,0.21178036564708788,48.22112097769376,40.81435679552
Batteries,SRCA,Electricity,2023,-43.28047307780674,35774.01602837465,0.0,160.8,0.0,1202140.8,5.190561279364773,0.1693112482868027,281.7739132669711,238.49344018916435
Batteries,SRCE,Electricity,2023,-29.22259222475894,24154.298885777294,0.0,122.3,0.0,914314.7999999999,5.827963191916782,0.150304553486771,190.25125146327423,161.02865923851527
Batteries,SRSE,Electricity,2023,-16.408929992632373,13563.006197035196,0.0,86.7,0.0,648169.2,7.318424063778201,0.119053185844249,106.82897130620037,90.42004131356799
Batteries,SRSG,Electricity,2023,-88.74822580264652,73355.95538999999,0.0,1585.8,0.0,11855440.8,24.392286949239615,0.035203927915808356,577.7879284026465,489.03970259999994
Batteries,TRE,Electricity,2023,-456.5211809995018,377343.2886699009,0.0,2405.5,0.0,17983518.0,7.298736392022573,0.11938105917959521,2972.1431054655077,2515.621924466006
Batteries,TREW,Electricity,2023,-371.9595988573701,307447.85593054537,0.0,1712.4,0.0,12801902.399999999,6.395889580813359,0.13663765765200053,2421.611971727673,2049.6523728703023
Biomass,BASN,Waste_biomass,2023,250.82710687871997,1039875.1954280065,0.0,44.6,0.0,7012012.0,32.10134381257788,0.6419999999999999,0.0,0.0
Biomass,CANO,Waste_biomass,2023,2000.9491288185595,11993517.854990805,0.0,677.8,0.0,106563716.0,59.25049874955678,0.33699999999999997,0.0,0.0
Biomass,CASO,Waste_biomass,2023,1409.7676169491197,6196077.745574742,0.0,364.1,0.0,57243802.0,45.000239034334676,0.4419999999999999,0.0,0.0
Biomass,FRCC,Waste_biomass,2023,1933.78613521536,11341603.329716712,0.0,823.7,0.0,129502114.0,72.83314052411042,0.268,0.0,0.0
Biomass,ISNE,Waste_biomass,2023,1990.9574618687993,11714266.756018538,0.0,1196.2000000000003,0.0,188066564.0,100.34409804441304,0.1899999999999999,0.0,0.0
Biomass,MISC,Waste_biomass,2023,729.36015129792,2899540.342006975,0.0,143.8,0.0,22608236.0,34.972813220759406,0.579,0.0,0.0
Biomass,MISE,Waste_biomass,2023,1128.7929370320003,6059729.115951754,0.0,310.5,0.0,48816810.0,48.615239620688776,0.41500000000000015,0.0,0.0
Biomass,MISS,Waste_biomass,2023,912.9331604735997,3338130.5353412353,0.0,372.20000000000005,0.0,58517284.0,67.75459279324751,0.2799999999999999,0.0,0.0
Biomass,MISW,Waste_biomass,2023,1181.9530552895997,5217425.626520447,0.0,613.3000000000002,0.0,96423026.0,85.99364515506643,0.21999999999999992,0.0,0.0
Biomass,NWPP,Waste_biomass,2023,1249.8571457049602,7441580.166115409,0.0,530.4000000000001,0.0,83389488.0,72.67315987130971,0.269,0.0,0.0
Biomass,NYCW,Waste_biomass,2023,455.5196231990399,3109090.1934223957,0.0,124.69999999999999,0.0,19605334.0,49.86486429256922,0.41700000000000004,0.0,0.0
Biomass,NYUP,Waste_biomass,2023,1310.99500470528,7314145.649553299,0.0,304.79999999999995,0.0,47920656.0,42.1319695737288,0.4910000000000001,0.0,0.0
Biomass,PJMC,Waste_biomass,2023,266.4374439859201,1504282.6402711147,0.0,55.2,0.0,8678544.0,38.21845191102053,0.5510000000000002,0.0,0.0
Biomass,PJMD,Waste_biomass,2023,1516.0230293932796,8246696.619385841,0.0,808.7,0.0,127143814.0,89.30636803952103,0.2139999999999999,0.0,0.0
Biomass,PJME,Waste_biomass,2023,2520.821534541119,15483696.990356456,0.0,784.0999999999999,0.0,123276202.0,55.04550682744614,0.367,0.0,0.0
Biomass,PJMW,Waste_biomass,2023,329.82312144959997,1608934.8097742973,0.0,163.70000000000002,0.0,25736914.0,82.91064825772989,0.2299999999999999,0.0,0.0
Biomass,RMRG,Waste_biomass,2023,84.07769613983997,337287.37933759973,0.0,29.9,0.0,4700878.0,59.92273350304468,0.32099999999999995,0.0,0.0
Biomass,SPPC,Waste_biomass,2023,101.86139162879998,426829.190157504,0.0,13.6,0.0,2138192.0,25.181485832285425,0.8549999999999999,0.0,0.0
Biomass,SPPN,Waste_biomass,2023,169.94418624,663977.19164544,0.0,19.400000000000002,0.0,3050068.0,21.85449984385085,1.0,0.0,0.0
Biomass,SPPS,Waste_biomass,2023,258.55615459890004,913617.5822136506,0.0,178.60000000000002,0.0,28079492.0,112.13467197170714,0.1652604166666667,0.0,0.0
Biomass,SRCA,Waste_biomass,2023,1109.9851964207996,6228529.73549853,0.0,618.0999999999999,0.0,97177682.0,93.15999174487804,0.205,0.0,0.0
Biomass,SRCE,Waste_biomass,2023,308.65893825600006,2110383.285946272,0.0,234.9,0.0,36930978.0,126.48705884410704,0.15,0.0,0.0
Biomass,SRSE,Waste_biomass,2023,2615.4848262815995,11242203.283537272,0.0,1350.9999999999998,0.0,212404220.0,85.50859138475387,0.221,0.0,0.0
Biomass,SRSG,Waste_biomass,2023,310.5073002815999,1656447.5425629888,0.0,95.8,0.0,15061676.0,53.84132201529972,0.37,0.0,0.0
Biomass,TRE,Waste_biomass,2023,255.4865559849601,1344537.8821285574,0.0,145.1,0.0,22812622.0,94.55354622867372,0.20100000000000007,0.0,0.0
Conventional Hydroelectric,BASN,Water,2023,8476.739079627061,0.0,0.0,2489.5999999999995,0.0,117130700.79999998,13.817896209818601,0.38868220519095376,0.0,0.0
Conventional Hydroelectric,CANO,Water,2023,19282.207599073183,0.0,0.0,7325.999999999999,0.0,344673648.0,17.875217151824828,0.3004590279555698,0.0,0.0
Conventional Hydroelectric,CASO,Water,2023,2530.5312884858313,0.0,0.0,1021.9999999999999,0.0,48083056.0,19.001170315017514,0.28265471446710017,0.0,0.0
Conventional Hydroelectric,FRCC,Water,2023,114.65869114087498,0.0,0.0,43.5,0.0,2046588.0,17.849392659519086,0.30089373192581886,0.0,0.0
Conventional Hydroelectric,ISNE,Water,2023,3587.469296854979,0.0,0.0,928.2000000000002,0.0,43669953.599999994,12.172913546126809,0.4412066470020146,0.0,0.0
Conventional Hydroelectric,MISC,Water,2023,1462.2670213922534,0.0,0.0,451.5,0.0,21242172.0,14.526876206080956,0.36971268246120303,0.0,0.0
Conventional Hydroelectric,MISE,Water,2023,96.77037606023899,0.0,0.0,32.300000000000004,0.0,1519650.4000000001,15.703673602074533,0.3420072593219532,0.0,0.0
Conventional Hydroelectric,MISS,Water,2023,1328.5431324472713,0.0,0.0,583.0999999999999,0.0,27433688.799999997,20.649452870578,0.26009262345078693,0.0,0.0
Conventional Hydroelectric,MISW,Water,2023,293.4381351181264,0.0,0.0,95.2,0.0,4478969.6,15.263761127015568,0.35186415230425777,0.0,0.0
Conventional Hydroelectric,NWPP,Water,2023,140351.67744168697,0.0,0.0,31942.499999999993,0.0,1502830739.9999995,10.707607970160474,0.5015845168126307,0.0,0.0
Conventional Hydroelectric,NYUP,Water,2023,18651.286291521435,0.0,0.0,3540.6,0.0,166578148.80000004,8.931188240658969,0.6013500359875682,0.0,0.0
Conventional Hydroelectric,PJMC,Water,2023,7.00800768,0.0,0.0,0.8,0.0,37638.4,5.370770369932014,1.0000000000000002,0.0,0.0
