timestamp,time_row,timeseries,time_column
2023_p272_9,2023,2023_p272,2012p272
2023_p272_10,2023,2023_p272,2012p272
2023_p272_11,2023,2023_p272,2012p272
2023_p272_12,2023,2023_p272,2012p272
2023_p272_13,2023,2023_p272,2012p272
2023_p272_14,2023,2023_p272,2012p272
2023_p272_15,2023,2023_p272,2012p272
2023_p272_16,2023,2023_p272,2012p272
2023_p272_17,2023,2023_p272,2012p272
2023_p272_18,2023,2023_p272,2012p272
2023_p272_19,2023,2023_p272,2012p272
2023_p272_20,2023,2023_p272,2012p272
2023_p272_21,2023,2023_p272,2012p272
2023_p272_22,2023,2023_p272,2012p272
2023_p272_23,2023,2023_p272,2012p272
2023_p273_0,2023,2023_p273,2012p273
2023_p273_1,2023,2023_p273,2012p273
2023_p273_2,2023,2023_p273,2012p273
2023_p273_3,2023,2023_p273,2012p273
2023_p273_4,2023,2023_p273,2012p273
2023_p273_5,2023,2023_p273,2012p273
2023_p273_6,2023,2023_p273,2012p273
2023_p273_7,2023,2023_p273,2012p273
2023_p273_8,2023,2023_p273,2012p273
2023_p273_9,2023,2023_p273,2012p273
2023_p273_10,2023,2023_p273,2012p273
2023_p273_11,2023,2023_p273,2012p273
2023_p273_12,2023,2023_p273,2012p273
2023_p273_13,2023,2023_p273,2012p273
2023_p273_14,2023,2023_p273,2012p273
2023_p273_15,2023,2023_p273,2012p273
2023_p273_16,2023,2023_p273,2012p273
2023_p273_17,2023,2023_p273,2012p273
2023_p273_18,2023,2023_p273,2012p273
2023_p273_19,2023,2023_p273,2012p273
2023_p273_20,2023,2023_p273,2012p273
2023_p273_21,2023,2023_p273,2012p273
2023_p273_22,2023,2023_p273,2012p273
2023_p273_23,2023,2023_p273,2012p273
2023_p274_0,2023,2023_p274,2012p274
2023_p274_1,2023,2023_p274,2012p274
2023_p274_2,2023,2023_p274,2012p274
2023_p274_3,2023,2023_p274,2012p274
2023_p274_4,2023,2023_p274,2012p274
2023_p274_5,2023,2023_p274,2012p274
2023_p274_6,2023,2023_p274,2012p274
2023_p274_7,2023,2023_p274,2012p274
2023_p274_8,2023,2023_p274,2012p274
2023_p274_9,2023,2023_p274,2012p274
2023_p274_10,2023,2023_p274,2012p274
2023_p274_11,2023,2023_p274,2012p274
2023_p274_12,2023,2023_p274,2012p274
2023_p274_13,2023,2023_p274,2012p274
2023_p274_14,2023,2023_p274,2012p274
2023_p274_15,2023,2023_p274,2012p274
2023_p274_16,2023,2023_p274,2012p274
2023_p274_17,2023,2023_p274,2012p274
2023_p274_18,2023,2023_p274,2012p274
2023_p274_19,2023,2023_p274,2012p274
2023_p274_20,2023,2023_p274,2012p274
2023_p274_21,2023,2023_p274,2012p274
2023_p274_22,2023,2023_p274,2012p274
2023_p274_23,2023,2023_p274,2012p274
2023_p275_0,2023,2023_p275,2012p275
2023_p275_1,2023,2023_p275,2012p275
2023_p275_2,2023,2023_p275,2012p275
2023_p275_3,2023,2023_p275,2012p275
2023_p275_4,2023,2023_p275,2012p275
2023_p275_5,2023,2023_p275,2012p275
2023_p275_6,2023,2023_p275,2012p275
2023_p275_7,2023,2023_p275,2012p275
2023_p275_8,2023,2023_p275,2012p275
2023_p275_9,2023,2023_p275,2012p275
2023_p275_10,2023,2023_p275,2012p275
2023_p275_11,2023,2023_p275,2012p275
2023_p275_12,2023,2023_p275,2012p275
2023_p275_13,2023,2023_p275,2012p275
2023_p275_14,2023,2023_p275,2012p275
2023_p275_15,2023,2023_p275,2012p275
2023_p275_16,2023,2023_p275,2012p275
2023_p275_17,2023,2023_p275,2012p275
2023_p275_18,2023,2023_p275,2012p275
2023_p275_19,2023,2023_p275,2012p275
2023_p275_20,2023,2023_p275,2012p275
2023_p275_21,2023,2023_p275,2012p275
2023_p275_22,2023,2023_p275,2012p275
2023_p275_23,2023,2023_p275,2012p275
2023_p276_0,2023,2023_p276,2012p276
2023_p276_1,2023,2023_p276,2012p276
2023_p276_2,2023,2023_p276,2012p276
2023_p276_3,2023,2023_p276,2012p276
2023_p276_4,2023,2023_p276,2012p276
2023_p276_5,2023,2023_p276,2012p276
2023_p276_6,2023,2023_p276,2012p276
2023_p276_7,2023,2023_p276,2012p276
2023_p276_8,2023,2023_p276,2012p276
2023_p276_9,2023,2023_p276,2012p276
2023_p276_10,2023,2023_p276,2012p276
2023_p276_11,2023,2023_p276,2012p276
2023_p276_12,2023,2023_p276,2012p276
2023_p276_13,2023,2023_p276,2012p276
2023_p276_14,2023,2023_p276,2012p276
2023_p276_15,2023,2023_p276,2012p276
2023_p276_16,2023,2023_p276,2012p276
