timepoint_id,timestamp,timeseries,tp_date
214,202308,20231121,20231121
215,202308,20231228,20231228
216,202308,20231218,20231218
217,202309,20230103,20230103
218,202309,20230130,20230130
219,202309,20230213,20230213
220,202309,20230216,20230216
221,202309,20230306,20230306
222,202309,20230315,20230315
223,202309,20230403,20230403
224,202309,20230410,20230410
225,202309,20230530,20230530
226,202309,20230517,20230517
227,202309,20230630,20230630
228,202309,20230615,20230615
229,202309,20230727,20230727
230,202309,20230710,20230710
231,202309,20230803,20230803
232,202309,20230831,20230831
233,202309,20230906,20230906
234,202309,20230912,20230912
235,202309,20231005,20231005
236,202309,20231020,20231020
237,202309,20231129,20231129
238,202309,20231121,20231121
239,202309,20231228,20231228
240,202309,20231218,20231218
241,202310,20230103,20230103
242,202310,20230130,20230130
243,202310,20230213,20230213
244,202310,20230216,20230216
245,202310,20230306,20230306
246,202310,20230315,20230315
247,202310,20230403,20230403
248,202310,20230410,20230410
249,202310,20230530,20230530
250,202310,20230517,20230517
251,202310,20230630,20230630
252,202310,20230615,20230615
253,202310,20230727,20230727
254,202310,20230710,20230710
255,202310,20230803,20230803
256,202310,20230831,20230831
257,202310,20230906,20230906
258,202310,20230912,20230912
259,202310,20231005,20231005
260,202310,20231020,20231020
261,202310,20231129,20231129
262,202310,20231121,20231121
263,202310,20231228,20231228
264,202310,20231218,20231218
265,202311,20230103,20230103
266,202311,20230130,20230130
267,202311,20230213,20230213
268,202311,20230216,20230216
269,202311,20230306,20230306
270,202311,20230315,20230315
271,202311,20230403,20230403
272,202311,20230410,20230410
273,202311,20230530,20230530
274,202311,20230517,20230517
275,202311,20230630,20230630
276,202311,20230615,20230615
277,202311,20230727,20230727
278,202311,20230710,20230710
279,202311,20230803,20230803
280,202311,20230831,20230831
281,202311,20230906,20230906
282,202311,20230912,20230912
283,202311,20231005,20231005
284,202311,20231020,20231020
285,202311,20231129,20231129
286,202311,20231121,20231121
287,202311,20231228,20231228
288,202311,20231218,20231218
289,202312,20230103,20230103
290,202312,20230130,20230130
291,202312,20230213,20230213
292,202312,20230216,20230216
293,202312,20230306,20230306
294,202312,20230315,20230315
295,202312,20230403,20230403
296,202312,20230410,20230410
297,202312,20230530,20230530
298,202312,20230517,20230517
299,202312,20230630,20230630
300,202312,20230615,20230615
301,202312,20230727,20230727
302,202312,20230710,20230710
303,202312,20230803,20230803
304,202312,20230831,20230831
305,202312,20230906,20230906
306,202312,20230912,20230912
307,202312,20231005,20231005
