LOAD_ZONE,zone_ccs_distance_km,zone_dbid
BASN,0,1
CANO,0,2
CASO,0,3
FRCC,0,4
ISNE,0,5
MISC,0,6
MISE,0,7
MISS,0,8
MISW,0,9
NWPP,0,10
NYCW,0,11
NYUP,0,12
PJMC,0,13
PJMD,0,14
PJME,0,15
PJMW,0,16
RMRG,0,17
SPPC,0,18
SPPN,0,19
SPPS,0,20
SRCA,0,21
SRCE,0,22
SRSE,0,23
SRSG,0,24
TRE,0,25
TREW,0,26
loadzone,0,27
