TRANSMISSION_LINE,PERIOD,trans_path_expansion_limit_mw
13-6,2023,5244.0
13-16,2023,980.0
13-9,2023,3200.0
15-12,2023,1255.0
15-16,2023,3885.0
15-11,2023,660.0
15-14,2023,1200.0
7-6,2023,400.0
7-16,2023,2662.0
7-9,2023,400.0
5-12,2023,1400.0
5-11,2023,760.0
6-18,2023,1430.0
6-16,2023,5441.0
6-22,2023,3745.0
6-20,2023,1172.0
6-8,2023,1039.0
6-19,2023,400.0
6-9,2023,1655.0
2-1,2023,400.0
2-3,2023,3675.0
2-10,2023,3675.0
26-25,2023,16529.0
26-20,2023,400.0
18-20,2023,3372.0
18-8,2023,400.0
18-19,2023,1433.0
18-9,2023,400.0
4-23,2023,3600.0
25-20,2023,600.0
21-16,2023,1219.0
21-22,2023,400.0
21-14,2023,1000.0
21-23,2023,1400.0
12-11,2023,2489.0
16-22,2023,3333.0
16-14,2023,6930.0
1-17,2023,3750.0
1-3,2023,5920.0
1-10,2023,3350.0
1-24,2023,5385.0
22-8,2023,4092.0
22-23,2023,3196.0
20-8,2023,1697.0
20-24,2023,1010.0
20-19,2023,400.0
17-10,2023,400.0
17-24,2023,614.0
8-23,2023,891.0
3-10,2023,2858.0
3-24,2023,4354.0
19-9,2023,5512.0
10-19,2023,400.0
10-9,2023,400.0
17-19,2023,410.0
17-18,2023,400.0
24-25,2023,400.0
