RESERVOIRS,res_min_vol,res_max_vol
BASN_conventional_hydroelectric_1_inlet,0,9.14173776
CANO_conventional_hydroelectric_1_inlet,0,26.900925119999997
CASO_conventional_hydroelectric_1_inlet,0,3.7527839999999997
FRCC_conventional_hydroelectric_1_inlet,0,0.15973199999999999
ISNE_conventional_hydroelectric_1_inlet,0,3.408306336
MISC_conventional_hydroelectric_1_inlet,0,1.657919016
MISE_conventional_hydroelectric_1_inlet,0,0.11860559999999999
MISS_conventional_hydroelectric_1_inlet,0,2.141113824
MISW_conventional_hydroelectric_1_inlet,0,0.3642624
NWPP_conventional_hydroelectric_1_inlet,0,236.2108601020082
NYUP_conventional_hydroelectric_1_inlet,0,15.62509005145633
PJMC_conventional_hydroelectric_1_inlet,0,0.041133744
PJMD_conventional_hydroelectric_1_inlet,0,2.2513032
PJME_conventional_hydroelectric_1_inlet,0,4.457492208
PJMW_conventional_hydroelectric_1_inlet,0,3.2489856
RMRG_conventional_hydroelectric_1_inlet,0,2.602757664
SPPC_conventional_hydroelectric_1_inlet,0,0.190944
SPPN_conventional_hydroelectric_1_inlet,0,9.21672
SPPS_conventional_hydroelectric_1_inlet,0,7.374771359999999
SRCA_conventional_hydroelectric_1_inlet,0,6.508311551999999
SRCE_conventional_hydroelectric_1_inlet,0,18.150082776
SRSE_conventional_hydroelectric_1_inlet,0,13.9506624
SRSG_conventional_hydroelectric_1_inlet,0,10.154908655999998
TRE_conventional_hydroelectric_1_inlet,0,1.7736127199999998
