GENERATION_PROJECT,gen_tech,gen_energy_source,gen_load_zone,gen_max_age,gen_amortization_period,gen_can_retire_early,gen_is_variable,gen_is_baseload,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_dbid,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_capacity_limit_mw,gen_min_load_fraction,gen_ramp_limit_up,gen_ramp_limit_down,gen_min_uptime,gen_min_downtime,gen_startup_om,gen_is_cogen,gen_storage_efficiency,gen_store_to_release_ratio,gen_can_provide_cap_reserves,gen_self_discharge_rate,gen_ccs_capture_efficiency,gen_ccs_energy_load,gen_storage_energy_to_power_ratio,gen_type,state
NYCW_battery_moderate_0,Battery_*_Moderate,Electricity,NYCW,15.0,15.0,1,False,False,.,0.15,0.0,NYCW_battery_moderate_0,0.0,0.0,.,0.0,1.0,1.0,0.0,0.0,0.0,False,0.8464,1.0,1,.,.,.,.,Storage,.
NYCW_nuclear_nuclear_moderate_0,Nuclear_Nuclear_Moderate,Uranium,NYCW,40.0,40.0,1,False,False,10.447,2.359,0.0,NYCW_nuclear_nuclear_moderate_0,0.0,0.0,.,0.0,1.0,1.0,24.0,24.0,285.155,False,.,.,1,.,.,.,.,Nuclear,.
NYCW_hydrogen_fframe_ct_moderate_0,Hydrogen_F-Frame CT_Moderate,Hydrogen,NYCW,500.0,30.0,1,False,False,9.717,6.151,0.0,NYCW_hydrogen_fframe_ct_moderate_0,0.0,0.0,.,0.0,3.78,3.78,1.0,1.0,137.375,False,.,.,1,.,.,.,.,Hydrogen,.
NYCW_hydrogen_hframe_cc_moderate_0,Hydrogen_H-Frame CC_Moderate,Hydrogen,NYCW,30.0,30.0,1,False,False,6.187,1.853,0.0,NYCW_hydrogen_hframe_cc_moderate_0,0.0,0.0,.,0.0,0.64,0.64,6.0,6.0,105.947,False,.,.,1,.,.,.,.,Hydrogen,.
NYUP_battery_moderate_0,Battery_*_Moderate,Electricity,NYUP,15.0,15.0,1,False,False,.,0.15,0.0,NYUP_battery_moderate_0,0.0,0.0,.,0.0,1.0,1.0,0.0,0.0,0.0,False,0.8464,1.0,1,.,.,.,.,Storage,.
NYUP_nuclear_nuclear_moderate_0,Nuclear_Nuclear_Moderate,Uranium,NYUP,40.0,40.0,1,False,False,10.447,2.359,0.0,NYUP_nuclear_nuclear_moderate_0,0.0,0.0,.,0.0,1.0,1.0,24.0,24.0,285.155,False,.,.,1,.,.,.,.,Nuclear,.
NYUP_hydrogen_fframe_ct_moderate_0,Hydrogen_F-Frame CT_Moderate,Hydrogen,NYUP,500.0,30.0,1,False,False,9.717,6.151,0.0,NYUP_hydrogen_fframe_ct_moderate_0,0.0,0.0,.,0.0,3.78,3.78,1.0,1.0,137.375,False,.,.,1,.,.,.,.,Hydrogen,.
NYUP_hydrogen_hframe_cc_moderate_0,Hydrogen_H-Frame CC_Moderate,Hydrogen,NYUP,30.0,30.0,1,False,False,6.187,1.853,0.0,NYUP_hydrogen_hframe_cc_moderate_0,0.0,0.0,.,0.0,0.64,0.64,6.0,6.0,105.947,False,.,.,1,.,.,.,.,Hydrogen,.
NYUP_landbasedwind_class3_moderate_0,LandbasedWind_Class3_Moderate,Wind,NYUP,30.0,30.0,1,True,False,.,0.0,564287.516,NYUP_landbasedwind_class3_moderate_0,0.0,0.0,22018.838,0.0,1.0,1.0,0.0,0.0,0.0,False,.,.,1,.,.,.,.,Wind,.
NYUP_utilitypv_class1_moderate_0,UtilityPV_Class1_Moderate,Solar,NYUP,30.0,30.0,1,True,False,.,0.0,192197.376,NYUP_utilitypv_class1_moderate_0,0.0,0.0,100042.013,0.0,1.0,1.0,0.0,0.0,0.0,False,.,.,1,.,.,.,.,Solar,.
NYUP_offshorewind_class3_moderate_fixed_0_1,OffShoreWind_Class3_Moderate_fixed_0,Wind,NYUP,30.0,30.0,1,True,False,.,0.0,1153122.987,NYUP_offshorewind_class3_moderate_fixed_0_1,0.0,0.0,1502.557,0.0,1.0,1.0,0.0,0.0,0.0,False,.,.,1,.,.,.,.,Wind,.
NYUP_offshorewind_class12_moderate_floating_0_1,OffShoreWind_Class12_Moderate_floating_0,Wind,NYUP,30.0,30.0,1,True,False,.,0.0,1145684.268,NYUP_offshorewind_class12_moderate_floating_0_1,0.0,0.0,26916.244,0.0,1.0,1.0,0.0,0.0,0.0,False,.,.,1,.,.,.,.,Wind,.
PJMC_battery_moderate_0,Battery_*_Moderate,Electricity,PJMC,15.0,15.0,1,False,False,.,0.15,0.0,PJMC_battery_moderate_0,0.0,0.0,.,0.0,1.0,1.0,0.0,0.0,0.0,False,0.8464,1.0,1,.,.,.,.,Storage,.
PJMC_nuclear_nuclear_moderate_0,Nuclear_Nuclear_Moderate,Uranium,PJMC,40.0,40.0,1,False,False,10.447,2.359,0.0,PJMC_nuclear_nuclear_moderate_0,0.0,0.0,.,0.0,1.0,1.0,24.0,24.0,285.155,False,.,.,1,.,.,.,.,Nuclear,.
PJMC_hydrogen_fframe_ct_moderate_0,Hydrogen_F-Frame CT_Moderate,Hydrogen,PJMC,500.0,30.0,1,False,False,9.717,6.151,0.0,PJMC_hydrogen_fframe_ct_moderate_0,0.0,0.0,.,0.0,3.78,3.78,1.0,1.0,137.375,False,.,.,1,.,.,.,.,Hydrogen,.
PJMC_hydrogen_hframe_cc_moderate_0,Hydrogen_H-Frame CC_Moderate,Hydrogen,PJMC,30.0,30.0,1,False,False,6.187,1.853,0.0,PJMC_hydrogen_hframe_cc_moderate_0,0.0,0.0,.,0.0,0.64,0.64,6.0,6.0,105.947,False,.,.,1,.,.,.,.,Hydrogen,.
PJMC_utilitypv_class1_moderate_0,UtilityPV_Class1_Moderate,Solar,PJMC,30.0,30.0,1,True,False,.,0.0,131388.641,PJMC_utilitypv_class1_moderate_0,0.0,0.0,50049.526,0.0,1.0,1.0,0.0,0.0,0.0,False,.,.,1,.,.,.,.,Solar,.
PJMC_landbasedwind_class3_moderate_0,LandbasedWind_Class3_Moderate,Wind,PJMC,30.0,30.0,1,True,False,.,0.0,420586.422,PJMC_landbasedwind_class3_moderate_0,0.0,0.0,22866.165,0.0,1.0,1.0,0.0,0.0,0.0,False,.,.,1,.,.,.,.,Wind,.
PJMC_offshorewind_class3_moderate_fixed_0_1,OffShoreWind_Class3_Moderate_fixed_0,Wind,PJMC,30.0,30.0,1,True,False,.,0.0,925439.648,PJMC_offshorewind_class3_moderate_fixed_0_1,0.0,0.0,3440.0,0.0,1.0,1.0,0.0,0.0,0.0,False,.,.,1,.,.,.,.,Wind,.
PJMC_offshorewind_class12_moderate_floating_0_1,OffShoreWind_Class12_Moderate_floating_0,Wind,PJMC,30.0,30.0,1,True,False,.,0.0,1149510.674,PJMC_offshorewind_class12_moderate_floating_0_1,0.0,0.0,37632.0,0.0,1.0,1.0,0.0,0.0,0.0,False,.,.,1,.,.,.,.,Wind,.
PJMD_battery_moderate_0,Battery_*_Moderate,Electricity,PJMD,15.0,15.0,1,False,False,.,0.15,0.0,PJMD_battery_moderate_0,0.0,0.0,.,0.0,1.0,1.0,0.0,0.0,0.0,False,0.8464,1.0,1,.,.,.,.,Storage,.
PJMD_nuclear_nuclear_moderate_0,Nuclear_Nuclear_Moderate,Uranium,PJMD,40.0,40.0,1,False,False,10.447,2.359,0.0,PJMD_nuclear_nuclear_moderate_0,0.0,0.0,.,0.0,1.0,1.0,24.0,24.0,285.155,False,.,.,1,.,.,.,.,Nuclear,.
PJMD_hydrogen_fframe_ct_moderate_0,Hydrogen_F-Frame CT_Moderate,Hydrogen,PJMD,500.0,30.0,1,False,False,9.717,6.151,0.0,PJMD_hydrogen_fframe_ct_moderate_0,0.0,0.0,.,0.0,3.78,3.78,1.0,1.0,137.375,False,.,.,1,.,.,.,.,Hydrogen,.
PJMD_hydrogen_hframe_cc_moderate_0,Hydrogen_H-Frame CC_Moderate,Hydrogen,PJMD,30.0,30.0,1,False,False,6.187,1.853,0.0,PJMD_hydrogen_hframe_cc_moderate_0,0.0,0.0,.,0.0,0.64,0.64,6.0,6.0,105.947,False,.,.,1,.,.,.,.,Hydrogen,.
PJMD_landbasedwind_class3_moderate_0,LandbasedWind_Class3_Moderate,Wind,PJMD,30.0,30.0,1,True,False,.,0.0,331229.907,PJMD_landbasedwind_class3_moderate_0,0.0,0.0,8839.462,0.0,1.0,1.0,0.0,0.0,0.0,False,.,.,1,.,.,.,.,Wind,.
PJMD_utilitypv_class1_moderate_0,UtilityPV_Class1_Moderate,Solar,PJMD,30.0,30.0,1,True,False,.,0.0,202044.251,PJMD_utilitypv_class1_moderate_0,0.0,0.0,200098.697,0.0,1.0,1.0,0.0,0.0,0.0,False,.,.,1,.,.,.,.,Solar,.
