TRANSMISSION_LINE,PERIOD,trans_path_expansion_limit_mw
13-6,2023,2622.0
13-16,2023,490.0
13-9,2023,1600.0
15-12,2023,628.0
15-16,2023,1942.0
15-11,2023,400.0
15-14,2023,600.0
7-6,2023,400.0
7-16,2023,1331.0
7-9,2023,400.0
5-12,2023,700.0
5-11,2023,400.0
6-18,2023,715.0
6-16,2023,2720.0
6-22,2023,1872.0
6-20,2023,586.0
6-8,2023,520.0
6-19,2023,400.0
6-9,2023,828.0
2-1,2023,400.0
2-3,2023,1838.0
2-10,2023,1838.0
26-25,2023,8264.0
26-20,2023,400.0
18-20,2023,1686.0
18-8,2023,400.0
18-19,2023,716.0
18-9,2023,400.0
4-23,2023,1800.0
25-20,2023,400.0
21-16,2023,610.0
21-22,2023,400.0
21-14,2023,500.0
21-23,2023,700.0
12-11,2023,1244.0
16-22,2023,1666.0
16-14,2023,3465.0
1-17,2023,1875.0
1-3,2023,2960.0
1-10,2023,1675.0
1-24,2023,2692.0
22-8,2023,2046.0
22-23,2023,1598.0
20-8,2023,848.0
20-24,2023,505.0
20-19,2023,400.0
17-10,2023,400.0
17-24,2023,400.0
8-23,2023,446.0
3-10,2023,1429.0
3-24,2023,2177.0
19-9,2023,2756.0
10-19,2023,400.0
10-9,2023,400.0
17-19,2023,400.0
17-18,2023,400.0
24-25,2023,400.0
