TRANSMISSION_LINE,PERIOD,trans_path_expansion_limit_mw
13-6,2023,0.0
13-16,2023,0.0
13-9,2023,0.0
15-12,2023,0.0
15-16,2023,0.0
15-11,2023,0.0
15-14,2023,0.0
7-6,2023,0.0
7-16,2023,0.0
7-9,2023,0.0
5-12,2023,0.0
5-11,2023,0.0
6-18,2023,0.0
6-16,2023,0.0
6-22,2023,0.0
6-20,2023,0.0
6-8,2023,0.0
6-19,2023,0.0
6-9,2023,0.0
2-1,2023,0.0
2-3,2023,0.0
2-10,2023,0.0
26-25,2023,0.0
26-20,2023,0.0
18-20,2023,0.0
18-8,2023,0.0
18-19,2023,0.0
18-9,2023,0.0
4-23,2023,0.0
25-20,2023,0.0
21-16,2023,0.0
21-22,2023,0.0
21-14,2023,0.0
21-23,2023,0.0
12-11,2023,0.0
16-22,2023,0.0
16-14,2023,0.0
1-17,2023,0.0
1-3,2023,0.0
1-10,2023,0.0
1-24,2023,0.0
22-8,2023,0.0
22-23,2023,0.0
20-8,2023,0.0
20-24,2023,0.0
20-19,2023,0.0
17-10,2023,0.0
17-24,2023,0.0
8-23,2023,0.0
3-10,2023,0.0
3-24,2023,0.0
19-9,2023,0.0
10-19,2023,0.0
10-9,2023,0.0
17-19,2023,0.0
17-18,2023,0.0
24-25,2023,0.0
