fuel,co2_intensity,upstream_co2_intensity
Coal,0.09552,0
Uranium,0.0,0
Naturalgas,0.05306,0
Distillate,0.07315,0
Hydrogen,0.0,0
Waste_biomass,0.0,0
Fuel,0.0,0
